subject,sex,age,condition,manipcheck,pity.target,envy.target,pityAD,pityC,envyAD,envyC
1,male,25,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
2,male,29,Attitude Baseline,Attitude,7,2,NA,NA,NA,NA
3,male,26,Aptitude PityAD,Aptitude,5,6,2,NA,NA,NA
4,male,42,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,3
5,male,42,Attitude PityAD,Aptitude,5,6,3,NA,NA,NA
6,male,21,Attitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
7,female,26,Aptitude PityC,Aptitude,4,5,NA,3,NA,NA
8,male,30,Attitude PityC,Attitude,7,3,NA,3,NA,NA
9,female,23,Aptitude EnvyC,Attitude,7,5,NA,NA,NA,3
10,female,41,Attitude Baseline,Aptitude,7,5,NA,NA,NA,NA
11,male,49,Attitude PityC,Attitude,7,3,NA,6,NA,NA
12,male,23,Aptitude PityAD,Attitude,6,5,6,NA,NA,NA
13,male,22,Aptitude EnvyAD,Aptitude,2,7,NA,NA,3,NA
14,male,35,Aptitude PityC,Aptitude,5,7,NA,1,NA,NA
15,female,47,Attitude PityAD,Aptitude,3,6,1,NA,NA,NA
16,male,25,Aptitude PityAD,Aptitude,3,7,2,NA,NA,NA
17,male,20,Attitude EnvyAD,Attitude,6,4,NA,NA,2,NA
18,female,40,Aptitude EnvyC,Aptitude,3,6,NA,NA,NA,5
19,female,23,Attitude PityC,Aptitude,5,7,NA,1,NA,NA
20,male,52,Attitude EnvyC,Attitude,5,6,NA,NA,NA,2
21,male,23,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
22,male,38,Attitude PityAD,Attitude,7,2,4,NA,NA,NA
23,female,59,Attitude EnvyC,Aptitude,6,7,NA,NA,NA,3
24,female,48,Aptitude Baseline,Attitude,5,6,NA,NA,NA,NA
25,male,37,Aptitude EnvyAD,Attitude,5,4,NA,NA,4,NA
26,male,37,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
