subject,sex,age,condition,manipcheck,pity.target,envy.target,pityAD,pityC,envyAD,envyC
27,female,28,Attitude EnvyC,Attitude,6,5,NA,NA,NA,1
28,male,36,Attitude PityAD,Aptitude,3,5,3,NA,NA,NA
29,female,31,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
30,male,35,Aptitude EnvyAD,Aptitude,6,7,NA,NA,2,NA
31,male,31,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
32,female,44,Aptitude PityAD,Aptitude,4,5,3,NA,NA,NA
33,male,46,Aptitude EnvyC,Aptitude,2,5,NA,NA,NA,6
34,female,23,Aptitude EnvyAD,Aptitude,5,4,NA,NA,3,NA
35,male,39,Aptitude PityC,Aptitude,4,5,NA,1,NA,NA
36,male,30,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,5
37,female,27,Attitude Baseline,Attitude,6,2,NA,NA,NA,NA
38,male,25,Attitude EnvyAD,Attitude,7,3,NA,NA,2,NA
39,male,27,Attitude PityAD,Aptitude,5,6,2,NA,NA,NA
40,female,23,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
41,male,20,Aptitude PityC,Aptitude,6,6,NA,2,NA,NA
42,male,39,Aptitude EnvyAD,Attitude,5,5,NA,NA,4,NA
43,female,52,Attitude PityC,Aptitude,7,7,NA,2,NA,NA
44,female,41,Attitude EnvyC,Attitude,5,6,NA,NA,NA,1
45,male,24,Aptitude PityAD,Aptitude,5,5,3,NA,NA,NA
46,male,38,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,5
47,female,49,Aptitude PityC,Aptitude,4,7,NA,2,NA,NA
48,male,28,Aptitude PityAD,Aptitude,5,5,2,NA,NA,NA
49,male,29,Attitude PityC,Aptitude,5,6,NA,3,NA,NA
50,female,37,Attitude Baseline,Attitude,6,4,NA,NA,NA,NA
51,female,23,Attitude PityAD,Attitude,7,5,7,NA,NA,NA
52,female,51,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
53,female,35,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
54,female,32,Attitude EnvyAD,Attitude,7,4,NA,NA,1,NA
55,male,29,Attitude PityC,Attitude,5,6,NA,7,NA,NA
56,male,38,Attitude EnvyC,Attitude,6,6,NA,NA,NA,1
57,female,32,Attitude EnvyAD,Aptitude,5,5,NA,NA,3,NA
58,female,35,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,7
59,male,27,Aptitude PityC,Attitude,5,6,NA,2,NA,NA
60,female,25,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
61,female,38,Attitude PityAD,Attitude,7,2,3,NA,NA,NA
62,female,27,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
63,female,24,Aptitude PityAD,Aptitude,5,7,2,NA,NA,NA
64,male,32,Aptitude PityAD,Aptitude,5,6,3,NA,NA,NA
65,male,52,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
66,female,34,Aptitude EnvyAD,Attitude,7,5,NA,NA,5,NA
67,male,31,Attitude PityC,Attitude,3,3,NA,5,NA,NA
68,female,33,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
69,male,22,Attitude PityAD,Attitude,7,2,5,NA,NA,NA
70,female,34,Aptitude PityC,Aptitude,3,7,NA,1,NA,NA
71,male,25,Aptitude EnvyC,Attitude,5,7,NA,NA,NA,2
72,female,36,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
73,female,20,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
74,female,39,Attitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
75,male,59,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,2
76,female,18,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
77,female,31,Aptitude EnvyAD,Aptitude,6,7,NA,NA,5,NA
78,female,29,Attitude PityC,Aptitude,5,5,NA,3,NA,NA
79,female,21,Attitude PityAD,Aptitude,6,5,5,NA,NA,NA
80,male,24,Aptitude PityAD,Aptitude,7,5,3,NA,NA,NA
81,male,33,Aptitude PityC,Aptitude,5,5,NA,2,NA,NA
82,male,25,Attitude EnvyAD,Aptitude,5,5,NA,NA,7,NA
83,male,47,Attitude EnvyC,Aptitude,3,5,NA,NA,NA,5
84,male,58,Aptitude PityAD,Aptitude,5,7,5,NA,NA,NA
85,male,35,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
86,female,32,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,1
87,male,33,Aptitude PityC,Aptitude,7,7,NA,5,NA,NA
88,male,26,Attitude PityAD,Attitude,5,3,6,NA,NA,NA
89,female,30,Aptitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
90,female,46,Attitude PityC,Attitude,6,3,NA,6,NA,NA
91,female,23,Attitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
92,male,18,Attitude EnvyC,Aptitude,6,6,NA,NA,NA,6
93,female,20,Attitude PityAD,Attitude,7,3,6,NA,NA,NA
94,male,30,Aptitude Baseline,Aptitude,3,5,NA,NA,NA,NA
95,male,56,Attitude Baseline,Attitude,2,6,NA,NA,NA,NA
96,female,25,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,4
97,female,28,Aptitude EnvyAD,Aptitude,3,7,NA,NA,6,NA
98,female,33,Aptitude Baseline,Aptitude,2,7,NA,NA,NA,NA
99,male,28,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
100,male,23,Aptitude PityC,Aptitude,5,5,NA,4,NA,NA
101,male,29,Aptitude PityAD,Aptitude,4,5,4,NA,NA,NA
102,male,21,Attitude PityC,Aptitude,5,6,NA,1,NA,NA
103,female,40,Attitude EnvyAD,Aptitude,3,6,NA,NA,5,NA
104,male,28,Attitude EnvyAD,Aptitude,6,5,NA,NA,3,NA
105,female,31,Attitude PityC,Aptitude,5,7,NA,1,NA,NA
106,female,20,Aptitude Baseline,Aptitude,2,6,NA,NA,NA,NA
107,female,31,Aptitude PityAD,Attitude,6,5,3,NA,NA,NA
108,male,49,Aptitude EnvyC,Aptitude,2,7,NA,NA,NA,5
109,male,25,Aptitude EnvyAD,Attitude,6,4,NA,NA,3,NA
110,male,21,Attitude PityAD,Aptitude,6,6,4,NA,NA,NA
111,male,27,Attitude Baseline,Attitude,6,4,NA,NA,NA,NA
112,male,32,Aptitude EnvyAD,Aptitude,5,7,NA,NA,2,NA
113,female,64,Aptitude PityC,Aptitude,4,7,NA,1,NA,NA
114,female,32,Aptitude PityAD,Aptitude,5,3,5,NA,NA,NA
115,male,57,Aptitude PityC,Attitude,6,5,NA,2,NA,NA
116,female,55,Attitude PityC,Attitude,7,7,NA,1,NA,NA
117,female,55,Attitude Baseline,Attitude,7,1,NA,NA,NA,NA
118,male,45,Attitude EnvyAD,Aptitude,3,7,NA,NA,6,NA
119,female,24,Attitude EnvyC,Aptitude,7,6,NA,NA,NA,4
120,male,27,Aptitude Baseline,Aptitude,2,7,NA,NA,NA,NA
121,female,38,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,2
122,female,52,Attitude PityAD,Aptitude,6,5,3,NA,NA,NA
123,male,24,Aptitude EnvyAD,Aptitude,3,6,NA,NA,5,NA
124,male,23,Attitude EnvyC,Aptitude,4,6,NA,NA,NA,3
125,male,26,Aptitude EnvyC,Attitude,6,5,NA,NA,NA,1
126,female,34,Attitude PityC,Attitude,5,3,NA,6,NA,NA
127,female,47,Attitude Baseline,Aptitude,5,3,NA,NA,NA,NA
128,male,32,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
129,male,26,Attitude PityAD,Attitude,6,6,2,NA,NA,NA
130,male,29,Attitude EnvyAD,Aptitude,5,7,NA,NA,2,NA
131,female,48,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
132,female,29,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,1
133,female,30,Attitude Baseline,Aptitude,6,7,NA,NA,NA,NA
134,female,35,Attitude EnvyC,Attitude,5,6,NA,NA,NA,2
135,male,49,Aptitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
136,female,27,Attitude EnvyAD,Aptitude,4,7,NA,NA,5,NA
137,male,30,Attitude PityAD,Attitude,6,4,5,NA,NA,NA
138,female,31,Aptitude PityAD,Aptitude,5,7,3,NA,NA,NA
139,female,43,Attitude PityC,Attitude,5,3,NA,6,NA,NA
140,female,57,Aptitude PityC,Attitude,7,3,NA,4,NA,NA
141,male,30,Aptitude PityC,Aptitude,6,7,NA,1,NA,NA
142,female,24,Aptitude Baseline,Attitude,7,5,NA,NA,NA,NA
143,female,23,Aptitude PityAD,Attitude,6,2,4,NA,NA,NA
144,male,51,Attitude EnvyC,Aptitude,6,5,NA,NA,NA,3
145,female,29,Attitude EnvyAD,Attitude,6,5,NA,NA,3,NA
146,female,49,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,1
147,male,27,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
148,male,24,Attitude PityC,Aptitude,7,5,NA,3,NA,NA
149,female,65,Aptitude EnvyAD,Aptitude,2,7,NA,NA,2,NA
150,female,34,Attitude Baseline,Attitude,4,6,NA,NA,NA,NA
151,male,28,Attitude PityAD,Aptitude,3,5,3,NA,NA,NA
152,male,38,Aptitude PityAD,Aptitude,4,6,2,NA,NA,NA
153,male,23,Attitude PityC,Aptitude,5,7,NA,1,NA,NA
154,male,34,Attitude EnvyC,Attitude,6,3,NA,NA,NA,2
155,female,24,Attitude EnvyAD,Attitude,7,4,NA,NA,1,NA
156,female,54,Attitude Baseline,Attitude,5,6,NA,NA,NA,NA
157,female,22,Aptitude EnvyAD,Aptitude,6,7,NA,NA,6,NA
158,female,38,Aptitude PityC,Aptitude,6,5,NA,4,NA,NA
159,female,29,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
160,female,23,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,3
161,male,26,Attitude PityAD,Aptitude,7,5,3,NA,NA,NA
162,female,24,Aptitude PityC,Attitude,6,6,NA,3,NA,NA
163,male,36,Attitude EnvyAD,Attitude,7,5,NA,NA,5,NA
164,male,33,Attitude PityAD,Attitude,5,6,4,NA,NA,NA
165,female,30,Aptitude EnvyAD,Aptitude,5,5,NA,NA,6,NA
166,female,37,Aptitude Baseline,Aptitude,7,6,NA,NA,NA,NA
167,male,31,Attitude PityC,Attitude,6,4,NA,1,NA,NA
168,female,34,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,2
169,female,43,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
170,female,37,Aptitude PityAD,Aptitude,5,6,3,NA,NA,NA
171,female,24,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
172,male,23,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
173,male,29,Attitude EnvyC,Attitude,4,4,NA,NA,NA,4
174,male,44,Attitude PityC,Attitude,5,5,NA,3,NA,NA
175,female,41,Attitude EnvyAD,Attitude,4,4,NA,NA,4,NA
176,female,24,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
177,male,20,Attitude PityAD,Aptitude,6,4,3,NA,NA,NA
178,female,22,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
179,male,21,Aptitude EnvyC,Aptitude,3,6,NA,NA,NA,5
180,female,30,Aptitude EnvyC,Attitude,3,6,NA,NA,NA,3
181,male,29,Attitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
182,male,48,Attitude PityC,Aptitude,5,3,NA,7,NA,NA
183,female,23,Aptitude PityC,Aptitude,7,7,NA,2,NA,NA
184,female,22,Attitude Baseline,Aptitude,7,7,NA,NA,NA,NA
185,male,23,Attitude PityAD,Attitude,6,5,5,NA,NA,NA
186,male,32,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
187,male,30,Attitude EnvyC,Attitude,6,4,NA,NA,NA,3
188,male,58,Aptitude EnvyAD,Aptitude,5,7,NA,NA,5,NA
189,female,27,Aptitude PityAD,Aptitude,6,6,5,NA,NA,NA
190,female,30,Attitude EnvyAD,Attitude,7,3,NA,NA,2,NA
191,male,30,Attitude EnvyC,Aptitude,5,5,NA,NA,NA,6
192,male,29,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
193,female,49,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
194,female,25,Aptitude PityC,Aptitude,6,7,NA,3,NA,NA
195,male,27,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,3
196,male,27,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
197,male,25,Attitude PityC,Attitude,6,3,NA,3,NA,NA
198,female,52,Aptitude EnvyAD,Aptitude,6,5,NA,NA,2,NA
199,female,19,Attitude PityAD,Attitude,7,3,2,NA,NA,NA
200,female,29,Aptitude EnvyAD,Attitude,6,7,NA,NA,6,NA
201,female,31,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
202,female,39,Aptitude PityAD,Aptitude,6,7,5,NA,NA,NA
203,male,48,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
204,female,38,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
205,male,30,Attitude PityC,Aptitude,6,3,NA,7,NA,NA
206,female,40,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
207,female,27,Attitude EnvyAD,Attitude,7,5,NA,NA,3,NA
208,male,43,Aptitude Baseline,Aptitude,4,4,NA,NA,NA,NA
209,female,29,Attitude PityAD,Aptitude,7,6,4,NA,NA,NA
210,male,23,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,2
211,female,51,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
212,female,26,Aptitude PityAD,Attitude,6,5,5,NA,NA,NA
213,male,31,Aptitude EnvyAD,Attitude,7,6,NA,NA,6,NA
214,female,40,Aptitude EnvyC,Aptitude,5,4,NA,NA,NA,3
215,male,38,Aptitude PityC,Aptitude,6,5,NA,2,NA,NA
216,female,37,Attitude EnvyAD,Aptitude,2,6,NA,NA,5,NA
217,male,52,Attitude EnvyC,Aptitude,3,5,NA,NA,NA,7
218,male,29,Aptitude Baseline,Attitude,5,5,NA,NA,NA,NA
219,male,74,Aptitude EnvyC,Attitude,6,6,NA,NA,NA,3
220,female,29,Aptitude PityC,Aptitude,5,7,NA,3,NA,NA
221,female,26,Aptitude EnvyAD,Aptitude,5,6,NA,NA,3,NA
222,female,18,Attitude EnvyAD,Aptitude,6,7,NA,NA,5,NA
223,female,21,Attitude PityC,Attitude,6,5,NA,2,NA,NA
224,female,36,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,5
225,female,26,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
226,female,48,Attitude EnvyC,Aptitude,6,5,NA,NA,NA,2
227,female,26,Attitude PityAD,Attitude,7,5,3,NA,NA,NA
228,male,21,Aptitude PityAD,Aptitude,5,7,1,NA,NA,NA
229,female,28,Aptitude EnvyAD,Aptitude,5,7,NA,NA,6,NA
230,male,36,Attitude PityC,Attitude,5,6,NA,2,NA,NA
231,female,29,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
232,male,23,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
233,female,33,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,7
234,female,33,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
235,female,33,Attitude EnvyAD,Attitude,7,3,NA,NA,1,NA
236,female,48,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
237,male,46,Aptitude PityAD,Aptitude,3,7,2,NA,NA,NA
238,male,41,Attitude EnvyC,Attitude,5,5,NA,NA,NA,3
239,female,34,Attitude PityAD,Aptitude,6,5,3,NA,NA,NA
240,female,31,Aptitude PityC,Aptitude,6,6,NA,3,NA,NA
241,male,45,Attitude PityC,Attitude,6,2,NA,1,NA,NA
242,male,47,Attitude EnvyAD,Attitude,6,2,NA,NA,2,NA
243,male,39,Aptitude EnvyAD,Aptitude,2,7,NA,NA,7,NA
244,male,19,Aptitude PityAD,Aptitude,5,7,1,NA,NA,NA
245,female,48,Attitude Baseline,Aptitude,6,5,NA,NA,NA,NA
246,female,33,Aptitude Baseline,Attitude,6,5,NA,NA,NA,NA
247,male,26,Aptitude EnvyC,Aptitude,3,4,NA,NA,NA,5
248,female,21,Aptitude PityAD,Aptitude,7,7,7,NA,NA,NA
249,male,25,Attitude PityC,Aptitude,5,7,NA,2,NA,NA
250,female,42,Aptitude PityC,Aptitude,7,7,NA,1,NA,NA
251,male,21,Aptitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
252,female,32,Attitude PityAD,Attitude,7,5,3,NA,NA,NA
253,male,55,Aptitude EnvyC,Aptitude,6,5,NA,NA,NA,1
254,male,27,Attitude EnvyC,Attitude,5,5,NA,NA,NA,1
255,female,26,Attitude Baseline,Attitude,6,4,NA,NA,NA,NA
256,male,31,Aptitude PityAD,Aptitude,7,2,2,NA,NA,NA
257,male,36,Attitude EnvyAD,Attitude,6,2,NA,NA,3,NA
258,female,32,Attitude Baseline,Aptitude,6,5,NA,NA,NA,NA
259,female,20,Attitude PityC,Aptitude,6,7,NA,1,NA,NA
260,male,29,Aptitude EnvyAD,Aptitude,6,6,NA,NA,6,NA
261,female,33,Aptitude PityC,Aptitude,4,6,NA,2,NA,NA
262,female,34,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,1
263,female,32,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
264,female,31,Attitude EnvyC,Aptitude,3,5,NA,NA,NA,3
265,female,37,Attitude PityAD,Aptitude,6,4,4,NA,NA,NA
266,female,43,Attitude EnvyAD,Attitude,7,6,NA,NA,5,NA
267,male,25,Attitude Baseline,Aptitude,4,5,NA,NA,NA,NA
268,female,36,Aptitude EnvyC,Attitude,5,7,NA,NA,NA,2
269,female,25,Aptitude EnvyAD,Aptitude,7,5,NA,NA,7,NA
270,female,57,Aptitude Baseline,Aptitude,2,6,NA,NA,NA,NA
271,female,42,Aptitude PityC,Aptitude,6,6,NA,7,NA,NA
272,female,28,Attitude EnvyAD,Aptitude,4,7,NA,NA,5,NA
273,male,59,Attitude PityC,Attitude,7,4,NA,5,NA,NA
274,male,30,Aptitude PityAD,Aptitude,5,7,1,NA,NA,NA
275,female,47,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
276,male,39,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
277,female,24,Aptitude PityAD,Aptitude,6,4,5,NA,NA,NA
278,female,26,Attitude PityC,Attitude,6,2,NA,4,NA,NA
279,male,32,Attitude EnvyAD,Aptitude,5,6,NA,NA,6,NA
280,male,42,Attitude EnvyC,Attitude,7,4,NA,NA,NA,2
281,male,35,Aptitude EnvyAD,Aptitude,4,5,NA,NA,4,NA
282,female,27,Attitude Baseline,Attitude,5,3,NA,NA,NA,NA
283,female,25,Attitude PityAD,Attitude,7,6,3,NA,NA,NA
284,male,37,Attitude PityC,Attitude,7,5,NA,2,NA,NA
285,female,57,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
286,female,32,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
287,male,19,Aptitude Baseline,Aptitude,7,6,NA,NA,NA,NA
288,male,54,Aptitude PityAD,Aptitude,5,6,5,NA,NA,NA
289,male,28,Aptitude PityC,Attitude,5,3,NA,5,NA,NA
290,male,23,Attitude Baseline,Attitude,6,7,NA,NA,NA,NA
291,male,25,Attitude Baseline,Attitude,7,4,NA,NA,NA,NA
292,male,31,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,3
293,male,24,Attitude PityAD,Attitude,6,2,4,NA,NA,NA
294,female,30,Attitude EnvyAD,Attitude,6,5,NA,NA,4,NA
295,male,21,Aptitude Baseline,Aptitude,7,5,NA,NA,NA,NA
296,male,29,Attitude PityC,Attitude,6,3,NA,5,NA,NA
297,male,23,Aptitude EnvyAD,Aptitude,5,6,NA,NA,6,NA
298,male,38,Aptitude PityAD,Aptitude,6,6,2,NA,NA,NA
299,male,25,Aptitude PityC,Aptitude,4,6,NA,2,NA,NA
300,female,34,Aptitude PityAD,Aptitude,5,5,6,NA,NA,NA
301,male,28,Attitude PityAD,Aptitude,5,5,4,NA,NA,NA
302,female,22,Attitude EnvyAD,Aptitude,5,7,NA,NA,5,NA
303,female,32,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,2
304,male,59,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
305,female,31,Aptitude EnvyC,Attitude,5,6,NA,NA,NA,3
306,male,41,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
307,female,31,Attitude PityC,Aptitude,7,7,NA,2,NA,NA
308,male,28,Attitude Baseline,Attitude,4,4,NA,NA,NA,NA
309,male,33,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,6
310,male,27,Aptitude PityC,Aptitude,5,7,NA,1,NA,NA
311,male,23,Attitude PityC,Attitude,5,2,NA,7,NA,NA
312,female,22,Aptitude EnvyAD,Aptitude,5,5,NA,NA,3,NA
313,female,27,Aptitude PityAD,Aptitude,6,7,6,NA,NA,NA
314,male,23,Attitude EnvyAD,Aptitude,5,4,NA,NA,3,NA
315,female,37,Aptitude EnvyAD,Aptitude,5,5,NA,NA,6,NA
316,male,33,Attitude PityAD,Aptitude,6,5,5,NA,NA,NA
317,male,37,Attitude EnvyC,Attitude,7,5,NA,NA,NA,3
318,male,23,Attitude Baseline,Aptitude,3,5,NA,NA,NA,NA
319,female,32,Attitude PityC,Attitude,6,4,NA,3,NA,NA
320,male,31,Aptitude Baseline,Aptitude,4,6,NA,NA,NA,NA
321,female,58,Attitude EnvyC,Attitude,3,5,NA,NA,NA,3
322,female,23,Attitude PityAD,Aptitude,6,7,5,NA,NA,NA
323,female,68,Aptitude EnvyAD,Aptitude,5,5,NA,NA,4,NA
324,female,27,Attitude EnvyAD,Attitude,7,3,NA,NA,2,NA
325,female,35,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,5
326,male,29,Aptitude PityAD,Aptitude,7,4,5,NA,NA,NA
327,male,48,Aptitude PityC,Aptitude,5,7,NA,3,NA,NA
328,female,35,Attitude PityC,Attitude,7,3,NA,3,NA,NA
329,male,36,Attitude PityAD,Attitude,5,7,3,NA,NA,NA
330,male,37,Aptitude Baseline,Aptitude,4,7,NA,NA,NA,NA
331,female,25,Attitude EnvyAD,Attitude,7,3,NA,NA,2,NA
332,female,24,Attitude EnvyC,Aptitude,5,6,NA,NA,NA,7
333,female,24,Aptitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
334,female,27,Aptitude EnvyC,Aptitude,6,5,NA,NA,NA,2
335,male,27,Attitude EnvyAD,Attitude,6,5,NA,NA,5,NA
336,male,28,Aptitude EnvyC,Attitude,5,6,NA,NA,NA,5
337,male,24,Aptitude Baseline,Attitude,7,7,NA,NA,NA,NA
338,female,52,Attitude PityC,Attitude,6,7,NA,6,NA,NA
339,male,22,Aptitude PityAD,Aptitude,7,2,2,NA,NA,NA
340,female,25,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
341,male,52,Aptitude PityC,Aptitude,6,5,NA,2,NA,NA
342,female,27,Attitude EnvyC,Attitude,6,4,NA,NA,NA,1
343,female,35,Attitude Baseline,Aptitude,3,5,NA,NA,NA,NA
344,female,26,Aptitude EnvyC,Attitude,6,6,NA,NA,NA,1
345,male,26,Attitude EnvyC,Attitude,6,6,NA,NA,NA,1
346,male,31,Attitude Baseline,Aptitude,7,6,NA,NA,NA,NA
347,male,29,Attitude PityAD,Aptitude,2,5,3,NA,NA,NA
348,male,24,Aptitude PityAD,Aptitude,2,7,3,NA,NA,NA
349,male,34,Aptitude PityC,Aptitude,7,2,NA,5,NA,NA
350,female,24,Aptitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
351,female,37,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
352,female,52,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
353,female,26,Attitude EnvyAD,Aptitude,5,6,NA,NA,5,NA
354,female,51,Attitude PityC,Attitude,6,6,NA,7,NA,NA
355,male,28,Aptitude PityAD,Aptitude,3,6,2,NA,NA,NA
356,male,53,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
357,female,38,Attitude Baseline,Attitude,5,7,NA,NA,NA,NA
358,male,25,Attitude PityC,Aptitude,5,7,NA,2,NA,NA
359,female,22,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,1
360,female,25,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,2
361,female,27,Aptitude EnvyAD,Aptitude,5,7,NA,NA,7,NA
362,female,21,Aptitude PityC,Aptitude,5,5,NA,2,NA,NA
363,female,51,Attitude EnvyAD,Aptitude,4,7,NA,NA,5,NA
364,male,24,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
365,female,45,Attitude PityC,Attitude,6,4,NA,2,NA,NA
366,male,28,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,6
367,male,22,Attitude PityAD,Aptitude,4,6,5,NA,NA,NA
368,male,26,Attitude EnvyAD,Aptitude,6,6,NA,NA,3,NA
369,male,48,Aptitude EnvyAD,Aptitude,4,6,NA,NA,4,NA
370,male,46,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
371,male,26,Attitude EnvyC,Aptitude,2,7,NA,NA,NA,5
372,female,23,Aptitude Baseline,Attitude,7,5,NA,NA,NA,NA
373,male,57,Aptitude PityAD,Aptitude,6,7,4,NA,NA,NA
374,female,46,Attitude PityC,Aptitude,4,7,NA,1,NA,NA
375,male,32,Aptitude PityC,Aptitude,5,7,NA,1,NA,NA
376,male,27,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
377,female,50,Attitude PityAD,Aptitude,6,5,7,NA,NA,NA
378,male,31,Aptitude EnvyAD,Aptitude,6,7,NA,NA,5,NA
