subject,sex,age,condition,pity.target,envy.target,pityAD,pityC,envyAD,envyC
1,male,23,PityAD,5,7,2,NA,NA,NA
2,male,39,EnvyC,7,5,NA,NA,NA,3
3,male,25,PityC,6,7,NA,6,NA,NA
4,male,24,EnvyAD,7,7,NA,NA,5,NA
5,female,30,PityC,6,3,NA,3,NA,NA
6,female,22,Baseline,6,5,NA,NA,NA,NA
7,male,27,Baseline,4,6,NA,NA,NA,NA
8,female,26,EnvyAD,7,5,NA,NA,3,NA
9,female,38,EnvyC,5,7,NA,NA,NA,2
10,male,25,PityC,4,5,NA,3,NA,NA
11,male,31,PityAD,5,5,2,NA,NA,NA
12,male,31,EnvyC,3,6,NA,NA,NA,2
13,male,30,EnvyC,3,6,NA,NA,NA,6
14,male,24,PityC,5,5,NA,3,NA,NA
15,male,24,EnvyC,1,3,NA,NA,NA,3
16,female,33,EnvyAD,7,5,NA,NA,3,NA
17,male,36,PityAD,5,7,6,NA,NA,NA
18,male,26,Baseline,3,7,NA,NA,NA,NA
19,female,33,Baseline,5,6,NA,NA,NA,NA
20,male,20,Baseline,5,6,NA,NA,NA,NA
21,female,57,PityAD,6,4,3,NA,NA,NA
22,male,38,PityC,1,7,NA,1,NA,NA
23,male,31,PityAD,7,6,5,NA,NA,NA
24,male,41,EnvyAD,6,3,NA,NA,3,NA
25,male,41,EnvyC,5,6,NA,NA,NA,3
26,male,22,PityAD,7,5,7,NA,NA,NA
27,male,26,EnvyC,6,6,NA,NA,NA,5
28,male,57,PityAD,7,5,3,NA,NA,NA
29,male,28,EnvyAD,2,6,NA,NA,6,NA
30,male,24,PityC,5,5,NA,6,NA,NA
31,male,26,EnvyAD,7,6,NA,NA,6,NA
32,female,46,PityC,7,7,NA,1,NA,NA
33,female,30,PityC,6,7,NA,5,NA,NA
34,male,25,EnvyAD,5,6,NA,NA,7,NA
35,male,23,PityAD,7,5,3,NA,NA,NA
36,female,38,EnvyC,5,7,NA,NA,NA,3
37,male,61,EnvyAD,5,6,NA,NA,5,NA
38,male,61,Baseline,7,6,NA,NA,NA,NA
39,female,25,Baseline,3,6,NA,NA,NA,NA
40,female,20,Baseline,7,6,NA,NA,NA,NA
41,male,23,PityC,6,6,NA,2,NA,NA
42,male,21,PityC,6,3,NA,2,NA,NA
43,female,28,EnvyC,3,7,NA,NA,NA,2
44,male,56,EnvyAD,2,6,NA,NA,7,NA
45,male,34,PityAD,5,3,4,NA,NA,NA
46,female,43,PityC,5,4,NA,7,NA,NA
47,female,21,PityAD,5,6,5,NA,NA,NA
48,male,28,EnvyAD,6,6,NA,NA,5,NA
49,female,24,Baseline,6,6,NA,NA,NA,NA
50,female,36,EnvyAD,5,7,NA,NA,6,NA
51,male,42,Baseline,5,6,NA,NA,NA,NA
52,male,61,EnvyAD,3,6,NA,NA,4,NA
53,female,27,EnvyC,5,7,NA,NA,NA,5
54,male,40,PityAD,4,5,2,NA,NA,NA
