subject,sex,age,condition,responseorder,h.pity.target,h.envy.target,h.pityAD,h.pityC,h.envyAD,h.envyC,w.pity.target,w.envy.target,w.pityAD,w.pityC,w.envyAD,w.envyC
1,female,34,PityAD,Hire,6,6,5,NA,NA,NA,3.671478939,4.390986376,3.678576561,NA,NA,NA
2,male,23,PityAD,WTP,4,6,3,NA,NA,NA,4.199154927,4.661455997,3.727138166,NA,NA,NA
3,male,25,PityC,WTP,5,3,NA,4,NA,NA,2.507157259,1.178654996,NA,1.974081026,NA,NA
4,male,39,Baseline,Hire,4,5,NA,NA,NA,NA,2.869034621,3.313458467,NA,NA,NA,NA
5,male,25,EnvyC,WTP,6,7,NA,NA,NA,5,3.671478939,4.124712099,NA,NA,NA,3.671478939
6,male,42,Baseline,WTP,2,6,NA,NA,NA,NA,3.313458467,3.678576561,NA,NA,NA,NA
7,male,40,EnvyAD,Hire,4,6,NA,NA,4,NA,3.727138166,4.101651137,NA,NA,3.740760076,NA
8,female,26,EnvyC,WTP,6,6,NA,NA,NA,6,3.420346201,3.38269391,NA,NA,NA,3.727138166
9,female,21,EnvyAD,WTP,3,7,NA,NA,6,NA,2.435366204,2.853015971,NA,NA,2.915606229,NA
10,female,29,Baseline,WTP,5,5,NA,NA,NA,NA,4.669364898,4.677304784,NA,NA,NA,NA
11,female,21,Baseline,Hire,5,6,NA,NA,NA,NA,2.900322089,2.989211057,NA,NA,NA,NA
12,male,27,EnvyAD,Hire,4,6,NA,NA,5,NA,2.946016681,3.912222985,NA,NA,3.292869505,NA
13,male,28,PityAD,WTP,4,5,3,NA,NA,NA,3.401530659,3.657130756,2.931193752,NA,NA,NA
14,female,28,PityAD,Hire,5,7,2,NA,NA,NA,3.429460847,4.394449155,3.392156637,NA,NA,NA
15,male,22,PityC,Hire,3,5,NA,4,NA,NA,2.246014742,2.152924318,NA,0,NA,NA
16,male,25,PityAD,Hire,6,4,3,NA,NA,NA,4.390986376,4.194943761,3.685624161,NA,NA,NA
17,male,31,PityC,WTP,4,6,NA,2,NA,NA,3.642311818,3.889572877,NA,3.313458467,NA,NA
18,male,36,EnvyAD,WTP,4,4,NA,NA,4,NA,2.435366204,3.642311818,NA,NA,2.960623096,NA
