subject,sex,age,condition,responseorder,h.pity.target,h.envy.target,h.pityAD,h.pityC,h.envyAD,h.envyC,w.pity.target,w.envy.target,w.pityAD,w.pityC,w.envyAD,w.envyC
19,male,44,Baseline,Hire,6,4,NA,NA,NA,NA,3.38269391,3.017493765,NA,NA,NA,NA
20,female,36,PityC,Hire,6,5,NA,1,NA,NA,3.720378121,3.533394551,NA,3.447444633,NA,NA
21,male,29,PityC,Hire,5,6,NA,2,NA,NA,3.193763124,2.410542234,NA,2.084429083,NA,NA
22,male,46,Baseline,WTP,4,5,NA,NA,NA,NA,3.799078246,4.322409318,NA,NA,NA,NA
23,female,36,EnvyC,Hire,6,7,NA,NA,NA,7,4.207673248,4.244630641,NA,NA,NA,4.390986376
24,male,34,PityC,WTP,7,5,NA,1,NA,NA,4.730833204,4.852342715,NA,3.044522438,NA,NA
25,female,28,EnvyC,WTP,4,5,NA,NA,NA,5,2.989211057,3.69262244,NA,NA,NA,2.989211057
26,male,31,Baseline,Hire,5,6,NA,NA,NA,NA,4.415098676,4.634437684,NA,NA,NA,NA
27,female,29,PityAD,WTP,5,5,4,NA,NA,NA,3.86030857,4.32611744,3.951051392,NA,NA,NA
28,female,51,EnvyC,WTP,2,7,NA,NA,NA,6,2.507157259,3.260785228,NA,NA,NA,3.565864003
29,male,35,Baseline,WTP,5,7,NA,NA,NA,NA,2.975019232,3.671478939,NA,NA,NA,NA
30,male,31,EnvyAD,Hire,4,6,NA,NA,6,NA,3.134189017,3.333632062,NA,NA,3.678576561,NA
31,male,55,EnvyAD,Hire,4,5,NA,NA,3,NA,3.604682295,4.397899984,NA,NA,4.106273133,NA
32,female,37,PityAD,WTP,6,4,4,NA,NA,NA,3.727138166,4.008786674,3.706719372,NA,NA,NA
33,female,37,PityC,WTP,5,5,NA,1,NA,NA,3.706719372,3.86030857,NA,2.573375298,NA,NA
34,male,22,PityAD,Hire,6,5,5,NA,NA,NA,2.507157259,2.275213896,2.215937286,NA,NA,NA
35,male,45,EnvyC,Hire,4,6,NA,NA,NA,4,3.706719372,3.93456697,NA,NA,NA,3.678576561
36,female,60,PityC,WTP,4,7,NA,1,NA,NA,4.087487775,4.798101922,NA,3.057767664,NA,NA
37,female,26,PityC,Hire,5,4,NA,3,NA,NA,2.656054906,2.931193752,NA,2.529720666,NA,NA
38,male,30,EnvyC,Hire,6,5,NA,NA,NA,5,3.541538866,3.38269391,NA,NA,NA,3.38269391
39,male,28,Baseline,WTP,7,5,NA,NA,NA,NA,3.541538866,3.343568269,NA,NA,NA,NA
40,male,25,Baseline,Hire,5,7,NA,NA,NA,NA,3.706719372,3.508256454,NA,NA,NA,NA
41,male,41,PityAD,Hire,7,5,3,NA,NA,NA,3.951051392,3.533394551,2.59450816,NA,NA,NA
42,male,34,PityAD,WTP,5,7,3,NA,NA,NA,2.836736542,2.975019232,2.636196097,NA,NA,NA
43,male,34,EnvyAD,Hire,4,5,NA,NA,4,NA,3.664330581,4.355425953,NA,NA,3.664330581,NA
44,male,25,PityAD,WTP,1,6,1,NA,NA,NA,3.031099417,3.565864003,2.048982334,NA,NA,NA
45,female,27,EnvyAD,WTP,5,6,NA,NA,6,NA,3.24998682,3.260785228,NA,NA,2.931193752,NA
46,female,37,EnvyC,Hire,6,2,NA,NA,NA,2,4.376888457,4.082777926,NA,NA,NA,2.802754137
47,male,22,EnvyC,WTP,5,4,NA,NA,NA,5,3.92907676,4.661455997,NA,NA,NA,4.23251103
48,male,32,EnvyAD,Hire,7,6,NA,NA,5,NA,3.465423354,3.353756307,NA,NA,3.003204288,NA
49,female,44,PityC,Hire,4,7,NA,2,NA,NA,3.38269391,4.620649757,NA,2.573375298,NA,NA
50,female,44,PityC,Hire,5,7,NA,2,NA,NA,3.438493166,3.533394551,NA,2.303584593,NA,NA
51,female,19,EnvyAD,WTP,5,7,NA,NA,3,NA,3.589335324,3.766997233,NA,NA,3.411147713,NA
52,female,52,EnvyAD,WTP,2,6,NA,NA,3,NA,3.657130756,4.087487775,NA,NA,3.900962058,NA
53,male,31,EnvyC,WTP,3,5,NA,NA,NA,5,1.597365331,3.18221184,NA,NA,NA,2.946016681
54,other,24,Baseline,WTP,6,6,NA,NA,NA,NA,4.805086051,4.960674445,NA,NA,NA,NA
55,male,54,Baseline,Hire,3,7,NA,NA,NA,NA,4.101651137,4.805086051,NA,NA,NA,NA
56,female,39,Baseline,WTP,5,6,NA,NA,NA,NA,2.946016681,3.727138166,NA,NA,NA,NA
57,female,58,EnvyC,Hire,5,7,NA,NA,NA,3,4.06834276,4.634437684,NA,NA,NA,4.383899879
58,male,21,PityAD,Hire,4,6,3,NA,NA,NA,3.792788918,4.311067546,3.541538866,NA,NA,NA
59,female,28,PityC,WTP,5,7,NA,2,NA,NA,2.385086315,3.228033763,NA,2.118662255,NA,NA
60,male,25,PityAD,WTP,5,5,2,NA,NA,NA,4.628984364,4.615120517,4.078045789,NA,NA,NA
61,female,57,Baseline,Hire,7,5,NA,NA,NA,NA,5.303304908,5.097057609,NA,NA,NA,NA
62,female,54,EnvyC,Hire,7,5,NA,NA,NA,3,4.096841442,3.906608373,NA,NA,NA,3.883829271
63,female,21,PityAD,Hire,7,5,5,NA,NA,NA,3.664330581,3.392156637,2.946016681,NA,NA,NA
64,female,61,EnvyC,WTP,4,5,NA,NA,NA,3,4.04899846,4.404888304,NA,NA,NA,4.115453525
65,female,35,PityC,WTP,6,4,NA,3,NA,NA,3.183870216,3.186352633,NA,2.836736542,NA,NA
66,male,35,EnvyAD,Hire,4,6,NA,NA,2,NA,3.671478939,4.115453525,NA,NA,3.678576561,NA
67,male,48,EnvyAD,WTP,7,6,NA,NA,6,NA,3.86030857,3.685624161,NA,NA,3.664330581,NA
68,male,45,EnvyAD,WTP,4,6,NA,NA,5,NA,4.092175545,4.415098676,NA,NA,4.252771799,NA
69,male,73,Baseline,WTP,3,6,NA,NA,NA,NA,2.713369363,3.456316681,NA,NA,NA,NA
70,male,33,PityC,Hire,5,5,NA,3,NA,NA,3.003204288,2.989211057,NA,0,NA,NA
71,female,32,EnvyC,Hire,4,5,NA,NA,NA,1,2.332143895,2.484072969,NA,NA,NA,2.529720666
72,male,20,EnvyC,WTP,7,5,NA,NA,NA,1,3.38269391,2.656054906,NA,NA,NA,1.477048724
73,female,42,Baseline,Hire,3,6,NA,NA,NA,NA,2.303584593,2.615934912,NA,NA,NA,NA
74,female,26,Baseline,Hire,6,3,NA,NA,NA,NA,3.940027202,3.499835352,NA,NA,NA,NA
75,female,40,EnvyAD,Hire,3,7,NA,NA,6,NA,3.533394551,3.69262244,NA,NA,3.205182498,NA
76,male,24,PityAD,WTP,5,7,3,NA,NA,NA,4.058717385,4.620649757,3.706719372,NA,NA,NA
77,female,39,Baseline,WTP,4,5,NA,NA,NA,NA,3.044522438,3.392156637,NA,NA,NA,NA
78,male,19,EnvyC,WTP,3,7,NA,NA,NA,1,3.678576561,4.138201945,NA,NA,NA,3.158701102
79,female,32,PityAD,Hire,6,5,3,NA,NA,NA,3.662792119,3.464485121,3.552486829,NA,NA,NA
80,male,20,PityAD,WTP,7,7,4,NA,NA,NA,4.138201945,3.671478939,3.727138166,NA,NA,NA
81,female,30,PityC,WTP,7,7,NA,2,NA,NA,3.38269391,3.447444633,NA,2.836736542,NA,NA
82,female,28,EnvyC,Hire,7,5,NA,NA,NA,4,4.876265455,4.730833204,NA,NA,NA,4.64265863
83,male,24,EnvyAD,WTP,6,2,NA,NA,3,NA,4.082777926,3.872033997,NA,NA,2.900322089,NA
84,male,21,PityC,Hire,6,7,NA,1,NA,NA,3.392156637,3.671478939,NA,2.435366204,NA,NA
85,male,22,EnvyAD,Hire,5,6,NA,NA,2,NA,3.64961874,4.115453525,NA,NA,2.960623096,NA
86,male,25,EnvyC,WTP,5,5,NA,NA,NA,7,4.867611371,4.830152047,NA,NA,NA,5.112409386
87,female,35,EnvyAD,Hire,3,7,NA,NA,5,NA,2.869034621,3.401530659,NA,NA,3.401530659,NA
88,female,31,PityAD,Hire,7,5,6,NA,NA,NA,2.615934912,2.59450816,2.332143895,NA,NA,NA
89,male,32,PityAD,WTP,3,6,2,NA,NA,NA,3.740760076,4.101651137,3.2820384,NA,NA,NA
90,male,33,PityAD,Hire,5,6,1,NA,NA,NA,3.158701102,3.438493166,2.215937286,NA,NA,NA
91,male,34,Baseline,WTP,4,5,NA,NA,NA,NA,3.193763124,3.678576561,NA,NA,NA,NA
92,male,25,PityAD,WTP,6,7,5,NA,NA,NA,4.307303088,5.303304908,4.394449155,NA,NA,NA
93,female,45,PityC,WTP,5,6,NA,2,NA,NA,2.636196097,3.392156637,NA,2.18492705,NA,NA
94,male,24,EnvyAD,WTP,5,6,NA,NA,3,NA,3.323596136,3.333632062,NA,NA,3.353756307,NA
95,female,35,Baseline,Hire,6,6,NA,NA,NA,NA,3.261168737,3.312001803,NA,NA,NA,NA
96,male,39,PityC,Hire,6,2,NA,1,NA,NA,4.805086051,4.809660849,NA,4.626148592,NA,NA
97,male,34,PityAD,Hire,5,6,2,NA,NA,NA,3.848444024,3.945457782,3.456316681,NA,NA,NA
98,male,19,EnvyC,Hire,6,6,NA,NA,NA,6,4.617888958,4.615120517,NA,NA,NA,4.617888958
99,male,32,EnvyAD,WTP,6,4,NA,NA,3,NA,3.557631168,3.260785228,NA,NA,2.931193752,NA
100,female,69,PityC,WTP,4,6,NA,2,NA,NA,4.284275979,4.964591356,NA,3.438493166,NA,NA
101,male,26,EnvyC,Hire,6,7,NA,NA,NA,7,3.54240755,3.104138147,NA,NA,NA,3.132882112
102,male,27,PityC,Hire,4,6,NA,2,NA,NA,2.303584593,2.819591576,NA,2.507157259,NA,NA
103,male,25,Baseline,WTP,7,7,NA,NA,NA,NA,5.276327349,5.303304908,NA,NA,NA,NA
104,female,50,EnvyAD,Hire,5,5,NA,NA,7,NA,3.671478939,3.824065727,NA,NA,3.664330581,NA
105,female,26,PityC,Hire,3,5,NA,4,NA,NA,2.118662255,3.438493166,NA,2.529720666,NA,NA
106,female,32,Baseline,Hire,3,6,NA,NA,NA,NA,2.084429083,3.057767664,NA,NA,NA,NA
107,male,34,Baseline,Hire,5,7,NA,NA,NA,NA,3.363495514,3.392156637,NA,NA,NA,NA
108,male,33,PityAD,Hire,5,6,3,NA,NA,NA,3.333632062,4.003690194,2.507157259,NA,NA,NA
109,female,31,EnvyC,Hire,3,7,NA,NA,NA,3,3.373140784,4.252771799,NA,NA,NA,4.092175545
110,male,30,EnvyC,WTP,5,5,NA,NA,NA,5,3.889572877,3.900962058,NA,NA,NA,3.883829271
111,male,29,Baseline,WTP,5,7,NA,NA,NA,NA,2.946016681,3.456316681,NA,NA,NA,NA
112,female,41,PityAD,WTP,6,5,3,NA,NA,NA,3.438493166,2.836736542,2.012232792,NA,NA,NA
113,female,67,EnvyC,WTP,7,5,NA,NA,NA,1,4.645351976,3.923556241,NA,NA,NA,3.003204288
114,female,48,EnvyAD,Hire,3,6,NA,NA,5,NA,3.889572877,4.284275979,NA,NA,4.164803026,NA
115,female,49,PityC,WTP,2,5,NA,1,NA,NA,2.869034621,3.109507288,NA,2.900322089,NA,NA
116,male,34,PityC,Hire,5,6,NA,5,NA,NA,3.993418644,4.110873864,NA,3.799078246,NA,NA
117,female,19,EnvyAD,WTP,7,5,NA,NA,3,NA,4.869839484,4.809660849,NA,NA,4.615120517,NA
118,male,24,Baseline,WTP,4,5,NA,NA,NA,NA,3.720378121,4.115453525,NA,NA,NA,NA
119,male,26,EnvyC,WTP,3,5,NA,NA,NA,4,3.2820384,3.734091797,NA,NA,NA,3.642311818
120,male,30,PityC,WTP,5,6,NA,2,NA,NA,2.915606229,3.474138006,NA,2.385086315,NA,NA
121,male,25,EnvyAD,WTP,5,6,NA,NA,7,NA,2.507157259,3.683615624,NA,NA,3.061520014,NA
122,female,29,Baseline,Hire,6,6,NA,NA,NA,NA,4.421848129,4.425325559,NA,NA,NA,NA
123,male,31,EnvyAD,Hire,6,6,NA,NA,5,NA,3.411147713,3.392156637,NA,NA,3.193763124,NA
124,male,22,EnvyC,Hire,3,6,NA,NA,NA,5,4.164803026,4.628984364,NA,NA,NA,4.800407968
125,female,32,Baseline,WTP,5,6,NA,NA,NA,NA,4.06834276,4.404888304,NA,NA,NA,NA
126,male,28,Baseline,Hire,6,7,NA,NA,NA,NA,3.557631168,3.353756307,NA,NA,NA,NA
127,male,20,PityAD,Hire,7,4,5,NA,NA,NA,2.732417558,2.675527009,2.836736542,NA,NA,NA
128,female,25,EnvyAD,WTP,5,4,NA,NA,5,NA,3.836221292,3.940027202,NA,NA,4.092175545,NA
129,male,35,EnvyC,Hire,6,7,NA,NA,NA,3,3.363495514,3.373140784,NA,NA,NA,3.392156637
130,male,26,PityAD,WTP,6,6,6,NA,NA,NA,4.458756168,4.113002744,3.668931816,NA,NA,NA
131,female,23,EnvyC,Hire,6,7,NA,NA,NA,2,4.634437684,4.809660849,NA,NA,NA,2.915606229
132,male,26,PityC,WTP,6,5,NA,2,NA,NA,4.404888304,4.827833622,NA,2.869034621,NA,NA
133,male,31,PityAD,WTP,6,6,2,NA,NA,NA,3.918005077,4.096841442,3.38269391,NA,NA,NA
134,female,37,PityAD,Hire,6,5,5,NA,NA,NA,3.836221292,3.664330581,3.678576561,NA,NA,NA
135,female,53,EnvyC,WTP,3,7,NA,NA,NA,6,4.190714786,4.984085959,NA,NA,NA,4.631714741
136,male,27,PityC,WTP,3,6,NA,1,NA,NA,3.713572067,4.401338946,NA,3.343568269,NA,NA
137,male,27,EnvyAD,WTP,4,4,NA,NA,4,NA,2.848970892,2.862200881,NA,NA,2.646883766,NA
138,male,22,PityAD,WTP,5,5,3,NA,NA,NA,3.24998682,3.456316681,2.931193752,NA,NA,NA
139,male,21,EnvyAD,WTP,5,7,NA,NA,5,NA,2.048982334,3.343568269,NA,NA,2.768204124,NA
140,male,24,EnvyAD,Hire,3,6,NA,NA,2,NA,3.420346201,4.190714786,NA,NA,4.024100909,NA
141,male,43,PityC,Hire,5,6,NA,1,NA,NA,4.631714741,5.043941113,NA,0,NA,NA
142,male,35,EnvyC,WTP,3,5,NA,NA,NA,4,3.830161979,3.38269391,NA,NA,NA,4.110873864
143,male,52,Baseline,Hire,5,3,NA,NA,NA,NA,4.805086051,4.623501143,NA,NA,NA,NA
144,female,62,EnvyAD,Hire,3,7,NA,NA,5,NA,0,2.819591576,NA,NA,2.385086315,NA
145,male,19,PityAD,Hire,6,5,3,NA,NA,NA,3.392156637,3.323596136,3.456316681,NA,NA,NA
146,male,30,EnvyAD,Hire,6,5,NA,NA,6,NA,2.783157674,2.199444334,NA,NA,2.946016681,NA
147,male,21,PityC,Hire,6,6,NA,5,NA,NA,2.808800104,2.58021683,NA,1.960094784,NA,NA
148,male,36,EnvyAD,Hire,4,7,NA,NA,7,NA,4.106273133,4.809660849,NA,NA,4.637153232,NA
149,prefer not to answer,24,PityC,Hire,3,6,NA,1,NA,NA,3.392156637,3.940027202,NA,2.18492705,NA,NA
150,male,20,EnvyC,WTP,5,7,NA,NA,NA,6,2.900322089,3.134189017,NA,NA,NA,3.573749147
151,male,18,EnvyC,Hire,2,6,NA,NA,NA,2,2.960623096,3.872033997,NA,NA,NA,3.685624161
152,male,25,PityAD,Hire,6,5,5,NA,NA,NA,3.353756307,3.38269391,3.401530659,NA,NA,NA
153,female,44,Baseline,WTP,3,6,NA,NA,NA,NA,4.390986376,5.038509831,NA,NA,NA,NA
154,female,40,PityC,Hire,5,7,NA,1,NA,NA,3.373140784,3.678576561,NA,2.152924318,NA,NA
155,male,47,Baseline,WTP,2,6,NA,NA,NA,NA,3.411147713,3.900962058,NA,NA,NA,NA
156,male,36,Baseline,Hire,3,5,NA,NA,NA,NA,2.507157259,3.353756307,NA,NA,NA,NA
157,male,49,PityC,WTP,3,6,NA,2,NA,NA,3.664330581,4.106273133,NA,3.323596136,NA,NA
158,female,36,PityC,Hire,5,3,NA,1,NA,NA,3.699819394,3.713572067,NA,2.900322089,NA,NA
159,male,54,Baseline,Hire,4,5,NA,NA,NA,NA,3.740760076,4.164803026,NA,NA,NA,NA
160,male,37,PityAD,WTP,6,5,2,NA,NA,NA,3.658935578,3.549904702,3.150596984,NA,NA,NA
161,male,33,Baseline,WTP,5,7,NA,NA,NA,NA,3.664330581,4.124712099,NA,NA,NA,NA
162,male,27,EnvyC,Hire,5,6,NA,NA,NA,6,3.872033997,4.096841442,NA,NA,NA,4.138201945
163,female,25,PityC,WTP,6,6,NA,1,NA,NA,2.946016681,3.678576561,NA,2.152924318,NA,NA
164,male,24,PityAD,WTP,6,7,5,NA,NA,NA,2.931193752,2.435366204,2.931193752,NA,NA,NA
165,female,26,EnvyC,Hire,3,6,NA,NA,NA,3,3.753964701,4.288127958,NA,NA,NA,4.073291153
166,male,52,PityAD,WTP,3,7,2,NA,NA,NA,3.373140784,3.883829271,3.363495514,NA,NA,NA
167,female,34,EnvyAD,Hire,7,7,NA,NA,7,NA,3.392156637,2.989211057,NA,NA,3.017493765,NA
168,male,23,PityAD,Hire,3,5,2,NA,NA,NA,2.048982334,3.713572067,2.385086315,NA,NA,NA
169,female,27,EnvyAD,WTP,3,6,NA,NA,5,NA,2.853015971,3.699819394,NA,NA,3.146305132,NA
170,male,55,PityAD,Hire,7,3,5,NA,NA,NA,3.228033763,2.551786179,2.869034621,NA,NA,NA
171,female,53,PityC,WTP,5,6,NA,1,NA,NA,4.23251103,4.626246512,NA,3.044522438,NA,NA
172,male,31,EnvyAD,WTP,3,5,NA,NA,6,NA,4.401338946,4.634437684,NA,NA,4.81656499,NA
173,male,29,PityAD,WTP,7,7,5,NA,NA,NA,3.363495514,3.64961874,2.975019232,NA,NA,NA
174,female,28,Baseline,Hire,6,6,NA,NA,NA,NA,2.960623096,3.323596136,NA,NA,NA,NA
175,female,33,Baseline,WTP,7,5,NA,NA,NA,NA,3.678576561,3.096934154,NA,NA,NA,NA
176,female,31,EnvyC,WTP,5,6,NA,NA,NA,3,4.623501143,4.811940423,NA,NA,NA,4.968562518
177,male,34,Baseline,WTP,4,4,NA,NA,NA,NA,2.573375298,2.246014742,NA,NA,NA,NA
178,female,20,EnvyC,WTP,6,6,NA,NA,NA,6,3.426215145,2.829087196,NA,NA,NA,2.794839331
179,male,31,PityC,Hire,3,6,NA,2,NA,NA,3.363495514,4.151669629,NA,2.332143895,NA,NA
180,female,43,PityC,WTP,4,6,NA,5,NA,NA,4.779375562,4.98216723,NA,4.628984364,NA,NA
181,male,59,EnvyC,Hire,6,7,NA,NA,NA,3,3.671478939,3.313458467,NA,NA,NA,3.044522438
182,male,32,EnvyAD,Hire,4,4,NA,NA,4,NA,3.699819394,3.727138166,NA,NA,3.699819394,NA
183,male,37,Baseline,Hire,6,4,NA,NA,NA,NA,3.271468275,3.353756307,NA,NA,NA,NA
184,male,31,PityAD,Hire,6,5,3,NA,NA,NA,4.54584472,4.631714741,3.727138166,NA,NA,NA
185,female,44,EnvyAD,WTP,3,6,NA,NA,5,NA,3.680090948,4.519939042,NA,NA,4.088829382,NA
186,female,27,Baseline,WTP,6,5,NA,NA,NA,NA,4.387511565,3.634951112,NA,NA,NA,NA
187,female,43,PityC,WTP,2,6,NA,1,NA,NA,4.092175545,4.811940423,NA,2.931193752,NA,NA
188,male,28,Baseline,Hire,7,6,NA,NA,NA,NA,5.098768264,4.962634818,NA,NA,NA,NA
189,male,37,PityAD,Hire,5,5,3,NA,NA,NA,2.802754137,3.2820384,2.573375298,NA,NA,NA
190,female,29,EnvyC,WTP,5,6,NA,NA,NA,1,2.989211057,3.18221184,NA,NA,NA,2.358965426
191,female,49,EnvyAD,Hire,4,5,NA,NA,2,NA,4.626246512,4.623501143,NA,NA,4.620649757,NA
192,male,54,EnvyAD,WTP,1,7,NA,NA,5,NA,2.385086315,3.373140784,NA,NA,2.975019232,NA
193,male,30,EnvyC,WTP,4,5,NA,NA,NA,6,3.760502198,4.373364224,NA,NA,NA,4.06834276
194,female,62,PityAD,WTP,3,6,2,NA,NA,NA,3.699819394,4.445353485,2.946016681,NA,NA,NA
195,male,54,EnvyC,Hire,5,7,NA,NA,NA,3,3.429460847,4.264649767,NA,NA,NA,3.706719372
196,female,40,PityC,Hire,3,6,NA,1,NA,NA,4.809660849,4.120012309,NA,2.946016681,NA,NA
197,female,49,PityC,WTP,5,6,NA,3,NA,NA,3.657130756,4.110873864,NA,2.551786179,NA,NA
198,female,34,EnvyAD,WTP,6,7,NA,NA,5,NA,3.533394551,3.706719372,NA,NA,3.21647294,NA
199,male,23,Baseline,WTP,6,4,NA,NA,NA,NA,3.678576561,3.228033763,NA,NA,NA,NA
200,male,38,PityAD,WTP,4,6,3,NA,NA,NA,3.642311818,4.082777926,3.003204288,NA,NA,NA
201,male,28,EnvyC,WTP,5,5,NA,NA,NA,7,3.392156637,3.866188469,NA,NA,NA,4.092175545
202,male,26,Baseline,Hire,3,6,NA,NA,NA,NA,3.420346201,3.69262244,NA,NA,NA,NA
203,male,45,EnvyC,Hire,7,6,NA,NA,NA,5,3.642311818,3.923556241,NA,NA,NA,3.411147713
204,male,31,Baseline,WTP,2,6,NA,NA,NA,NA,2.656054906,3.706719372,NA,NA,NA,NA
205,female,62,PityAD,Hire,3,7,2,NA,NA,NA,4.115453525,4.818828898,3.713572067,NA,NA,NA
206,female,31,PityC,Hire,7,6,NA,2,NA,NA,2.636196097,2.989211057,NA,1.832581464,NA,NA
207,female,53,EnvyAD,Hire,6,6,NA,NA,5,NA,3.912222985,3.92907676,NA,NA,3.678576561,NA
208,female,34,EnvyAD,Hire,5,7,NA,NA,5,NA,4.21464295,4.573885896,NA,NA,4.360930671,NA
209,female,31,EnvyC,Hire,6,6,NA,NA,NA,5,2.573375298,2.785628336,NA,NA,NA,2.152924318
210,female,37,PityAD,Hire,6,5,3,NA,NA,NA,4.408303358,4.248638089,3.69262244,NA,NA,NA
211,male,28,PityAD,WTP,6,4,5,NA,NA,NA,4.164803026,3.918005077,3.760502198,NA,NA,NA
212,female,38,EnvyC,WTP,5,7,NA,NA,NA,3,3.438493166,3.760502198,NA,NA,NA,3.699819394
213,female,56,EnvyAD,WTP,3,7,NA,NA,6,NA,2.529720666,3.323596136,NA,NA,2.884800713,NA
214,male,35,PityC,WTP,4,6,NA,2,NA,NA,3.541538866,3.92907676,NA,2.675527009,NA,NA
215,male,39,Baseline,Hire,6,4,NA,NA,NA,NA,4.120012309,3.363495514,NA,NA,NA,NA
216,female,31,PityC,Hire,7,6,NA,2,NA,NA,5.107338443,4.620649757,NA,3.685624161,NA,NA
217,female,26,Baseline,WTP,7,6,NA,NA,NA,NA,2.507157259,2.551786179,NA,NA,NA,NA
218,male,27,PityAD,WTP,5,6,3,NA,NA,NA,2.332143895,2.853015971,2.246014742,NA,NA,NA
219,female,26,EnvyC,WTP,6,5,NA,NA,NA,1,4.008786674,3.706719372,NA,NA,NA,3.740760076
220,male,23,EnvyAD,Hire,4,5,NA,NA,3,NA,4.288127958,4.795790546,NA,NA,4.397899984,NA
221,male,26,PityC,WTP,7,5,NA,1,NA,NA,4.397899984,4.240607069,NA,3.228033763,NA,NA
222,male,35,PityAD,WTP,6,6,3,NA,NA,NA,3.889572877,3.895283681,3.017493765,NA,NA,NA
223,female,22,PityC,Hire,7,4,NA,3,NA,NA,3.429460847,3.420346201,NA,2.675527009,NA,NA
224,male,23,EnvyC,Hire,7,7,NA,NA,NA,5,2.960623096,2.615934912,NA,NA,NA,2.118662255
225,male,28,EnvyAD,WTP,3,7,NA,NA,6,NA,4.087487775,4.428671642,NA,NA,4.373364224,NA
226,male,41,PityAD,Hire,2,7,2,NA,NA,NA,4.096841442,4.106273133,4.096841442,NA,NA,NA
227,male,50,EnvyAD,Hire,7,3,NA,NA,3,NA,4.648038086,4.61234439,NA,NA,4.637153232,NA
228,male,21,EnvyC,WTP,5,6,NA,NA,NA,7,4.762686624,4.800407968,NA,NA,NA,4.867611371
229,female,35,Baseline,WTP,3,5,NA,NA,NA,NA,4.190714786,4.634437684,NA,NA,NA,NA
230,female,33,EnvyC,Hire,5,6,NA,NA,NA,6,3.146305132,3.38269391,NA,NA,NA,3.720378121
231,male,34,PityC,Hire,7,6,NA,3,NA,NA,4.303659606,4.015301355,NA,3.360375387,NA,NA
232,female,51,EnvyAD,WTP,5,5,NA,NA,3,NA,3.121924299,3.604682295,NA,NA,3.411147713,NA
233,male,30,Baseline,Hire,5,6,NA,NA,NA,NA,3.420346201,3.889572877,NA,NA,NA,NA
234,male,30,Baseline,Hire,1,6,NA,NA,NA,NA,3.713572067,3.877845554,NA,NA,NA,NA
235,female,25,Baseline,Hire,6,5,NA,NA,NA,NA,3.69262244,3.64961874,NA,NA,NA,NA
236,male,62,EnvyC,Hire,6,5,NA,NA,NA,2,3.573749147,2.853015971,NA,NA,NA,2.118662255
237,male,24,PityC,Hire,7,6,NA,3,NA,NA,4.087487775,3.956422593,NA,2.946016681,NA,NA
238,female,36,EnvyC,WTP,4,7,NA,NA,NA,7,4.110873864,4.408303358,NA,NA,NA,4.415098676
239,male,21,EnvyAD,Hire,6,7,NA,NA,2,NA,3.499835352,4.138201945,NA,NA,2.853015971,NA
240,NA,20,PityC,WTP,3,7,NA,2,NA,NA,3.940027202,4.524719062,NA,2.246014742,NA,NA
241,female,35,PityAD,Hire,6,3,5,NA,NA,NA,4.825590031,3.044522438,4.115453525,NA,NA,NA
242,male,25,EnvyAD,WTP,3,6,NA,NA,3,NA,3.627535824,4.034063631,NA,NA,3.64961874,NA
