subject,sex,age,condition,pity.target,envy.target,pityAD.decoy,pityC.decoy,envyAD.decoy,envyC.decoy
1,male,38,EnvyC,1,4,NA,NA,NA,7
2,female,29,EnvyAD,7,7,NA,NA,7,NA
3,male,38,PityC,5,5,NA,2,NA,NA
4,male,34,PityAD,7,5,5,NA,NA,NA
5,male,53,EnvyC,5,7,NA,NA,NA,2
6,male,39,EnvyAD,5,7,NA,NA,5,NA
7,female,22,PityC,6,6,NA,5,NA,NA
8,female,19,Baseline,4,6,NA,NA,NA,NA
9,female,25,EnvyAD,5,7,NA,NA,4,NA
10,female,38,EnvyC,5,7,NA,NA,NA,2
11,female,31,Baseline,6,5,NA,NA,NA,NA
12,female,33,Baseline,6,5,NA,NA,NA,NA
13,male,34,PityAD,3,6,3,NA,NA,NA
14,female,32,Baseline,6,6,NA,NA,NA,NA
15,female,43,PityAD,6,6,6,NA,NA,NA
16,male,33,EnvyAD,5,6,NA,NA,2,NA
17,male,38,EnvyAD,5,5,NA,NA,5,NA
18,female,41,PityC,5,7,NA,1,NA,NA
19,female,27,PityAD,5,5,3,NA,NA,NA
20,male,21,EnvyC,4,6,NA,NA,NA,5
21,female,34,EnvyAD,4,6,NA,NA,5,NA
22,male,33,Baseline,5,3,NA,NA,NA,NA
23,male,27,EnvyC,2,6,NA,NA,NA,5
24,female,38,PityC,5,5,NA,2,NA,NA
25,male,55,Baseline,5,7,NA,NA,NA,NA
26,female,53,PityAD,5,7,3,NA,NA,NA
27,male,24,PityAD,5,4,7,NA,NA,NA
28,male,33,PityC,6,5,NA,1,NA,NA
29,male,28,EnvyAD,5,6,NA,NA,5,NA
30,male,36,Baseline,7,5,NA,NA,NA,NA
31,male,28,EnvyAD,7,6,NA,NA,3,NA
32,female,32,EnvyC,6,7,NA,NA,NA,3
33,female,32,PityAD,4,7,3,NA,NA,NA
34,female,54,PityC,4,4,NA,2,NA,NA
35,female,44,Baseline,5,5,NA,NA,NA,NA
36,male,40,EnvyAD,5,7,NA,NA,6,NA
37,female,22,EnvyC,6,6,NA,NA,NA,3
38,female,29,PityAD,4,4,3,NA,NA,NA
39,male,23,EnvyC,5,5,NA,NA,NA,4
40,female,33,EnvyAD,5,6,NA,NA,3,NA
41,male,55,PityC,6,5,NA,2,NA,NA
42,male,24,EnvyC,6,6,NA,NA,NA,7
43,female,29,Baseline,6,6,NA,NA,NA,NA
44,female,59,PityC,6,3,NA,2,NA,NA
45,female,28,EnvyC,2,7,NA,NA,NA,3
46,female,29,PityC,5,7,NA,3,NA,NA
47,female,30,EnvyC,3,5,NA,NA,NA,6
48,male,32,EnvyAD,5,6,NA,NA,2,NA
49,female,54,PityAD,5,6,3,NA,NA,NA
50,female,37,Baseline,6,5,NA,NA,NA,NA
51,male,31,PityAD,5,6,3,NA,NA,NA
52,male,33,Baseline,7,6,NA,NA,NA,NA
53,female,46,EnvyC,7,6,NA,NA,NA,1
54,female,34,PityC,7,3,NA,2,NA,NA
55,female,28,EnvyAD,5,7,NA,NA,7,NA
56,male,40,PityAD,6,5,5,NA,NA,NA
57,male,37,EnvyC,5,5,NA,NA,NA,3
58,female,40,PityC,5,7,NA,2,NA,NA
59,female,30,PityAD,6,6,5,NA,NA,NA
60,female,26,EnvyAD,7,7,NA,NA,3,NA
61,male,28,PityC,5,6,NA,3,NA,NA
62,female,23,EnvyC,3,6,NA,NA,NA,4
63,female,35,Baseline,4,7,NA,NA,NA,NA
64,female,54,PityAD,6,4,1,NA,NA,NA
65,female,37,EnvyAD,7,5,NA,NA,5,NA
66,male,28,Baseline,5,6,NA,NA,NA,NA
67,female,31,EnvyC,5,7,NA,NA,NA,3
68,female,26,EnvyAD,6,7,NA,NA,5,NA
69,female,38,PityC,5,6,NA,3,NA,NA
70,prefer not to answer,33,Baseline,5,6,NA,NA,NA,NA
71,female,21,PityAD,6,6,5,NA,NA,NA
72,male,25,PityC,6,7,NA,2,NA,NA
73,female,20,Baseline,6,3,NA,NA,NA,NA
74,male,29,PityAD,4,7,4,NA,NA,NA
75,female,25,EnvyAD,6,6,NA,NA,6,NA
76,male,28,Baseline,5,6,NA,NA,NA,NA
77,female,41,EnvyC,5,5,NA,NA,NA,6
78,female,55,EnvyAD,5,7,NA,NA,5,NA
79,male,18,PityAD,5,6,2,NA,NA,NA
80,male,40,PityC,4,6,NA,3,NA,NA
81,female,42,EnvyAD,5,6,NA,NA,3,NA
82,male,22,EnvyC,3,7,NA,NA,NA,6
83,male,23,PityAD,7,6,3,NA,NA,NA
84,female,28,EnvyC,5,6,NA,NA,NA,3
85,female,28,PityC,5,7,NA,3,NA,NA
86,female,26,EnvyC,6,7,NA,NA,NA,5
87,male,72,Baseline,6,6,NA,NA,NA,NA
88,female,38,EnvyAD,6,6,NA,NA,7,NA
89,male,28,Baseline,6,4,NA,NA,NA,NA
90,female,34,PityAD,7,3,1,NA,NA,NA
91,male,33,PityC,6,6,NA,1,NA,NA
92,male,31,EnvyC,5,6,NA,NA,NA,4
93,female,24,Baseline,7,6,NA,NA,NA,NA
94,male,28,PityAD,4,5,5,NA,NA,NA
95,female,34,EnvyAD,7,7,NA,NA,5,NA
96,female,27,EnvyC,6,5,NA,NA,NA,2
97,male,37,PityC,6,4,NA,2,NA,NA
98,male,29,EnvyAD,6,6,NA,NA,2,NA
99,female,30,PityC,7,4,NA,5,NA,NA
100,female,30,Baseline,7,7,NA,NA,NA,NA
101,female,43,PityAD,7,5,1,NA,NA,NA
102,female,24,EnvyC,5,7,NA,NA,NA,3
103,male,28,PityC,3,5,NA,3,NA,NA
104,female,21,Baseline,6,7,NA,NA,NA,NA
105,male,32,EnvyAD,3,6,NA,NA,7,NA
106,female,55,PityAD,4,6,2,NA,NA,NA
107,male,33,Baseline,5,6,NA,NA,NA,NA
108,male,36,PityAD,5,6,1,NA,NA,NA
109,male,23,PityC,5,7,NA,6,NA,NA
110,male,41,EnvyAD,6,4,NA,NA,3,NA
111,female,59,EnvyC,6,5,NA,NA,NA,1
112,female,27,Baseline,6,6,NA,NA,NA,NA
113,female,27,PityC,7,6,NA,2,NA,NA
114,male,34,EnvyC,6,7,NA,NA,NA,5
115,female,57,PityAD,5,6,6,NA,NA,NA
116,male,36,EnvyC,7,4,NA,NA,NA,5
117,female,22,PityC,6,7,NA,3,NA,NA
118,female,28,PityAD,6,7,3,NA,NA,NA
119,female,29,EnvyAD,2,6,NA,NA,3,NA
120,female,58,Baseline,5,6,NA,NA,NA,NA
121,female,45,PityC,6,5,NA,1,NA,NA
122,female,34,PityAD,6,7,5,NA,NA,NA
123,male,28,Baseline,4,6,NA,NA,NA,NA
124,female,31,EnvyAD,3,7,NA,NA,3,NA
125,male,31,PityAD,5,7,5,NA,NA,NA
126,female,44,EnvyAD,6,5,NA,NA,6,NA
127,female,42,EnvyC,5,6,NA,NA,NA,4
128,male,35,Baseline,4,5,NA,NA,NA,NA
129,male,55,PityC,5,7,NA,2,NA,NA
130,female,35,PityAD,5,6,5,NA,NA,NA
131,male,63,EnvyC,3,6,NA,NA,NA,3
132,female,21,PityC,7,6,NA,3,NA,NA
133,male,30,EnvyAD,7,4,NA,NA,3,NA
134,female,29,PityC,3,3,NA,1,NA,NA
135,female,40,Baseline,3,5,NA,NA,NA,NA
136,female,26,EnvyC,6,5,NA,NA,NA,3
137,female,33,PityAD,3,7,4,NA,NA,NA
138,female,36,EnvyAD,5,6,NA,NA,5,NA
139,female,42,Baseline,5,6,NA,NA,NA,NA
140,female,68,PityC,7,6,NA,1,NA,NA
141,male,37,PityC,4,7,NA,1,NA,NA
142,female,28,EnvyC,7,6,NA,NA,NA,2
143,female,28,PityAD,3,6,3,NA,NA,NA
144,male,25,EnvyAD,6,6,NA,NA,6,NA
145,male,23,Baseline,6,5,NA,NA,NA,NA
146,female,34,Baseline,6,6,NA,NA,NA,NA
147,male,34,PityAD,6,7,6,NA,NA,NA
148,male,30,PityAD,6,5,4,NA,NA,NA
149,male,38,EnvyC,3,6,NA,NA,NA,5
150,male,35,Baseline,6,6,NA,NA,NA,NA
151,male,31,PityC,4,5,NA,7,NA,NA
152,male,23,PityAD,6,3,5,NA,NA,NA
153,male,42,EnvyAD,5,6,NA,NA,5,NA
154,female,51,EnvyC,4,6,NA,NA,NA,3
155,female,25,PityC,5,7,NA,2,NA,NA
156,female,35,PityC,6,5,NA,2,NA,NA
157,male,18,EnvyAD,3,7,NA,NA,5,NA
158,male,33,EnvyAD,6,5,NA,NA,5,NA
159,female,25,EnvyC,5,7,NA,NA,NA,2
160,female,53,Baseline,6,6,NA,NA,NA,NA
161,male,33,EnvyC,4,5,NA,NA,NA,3
162,male,27,PityAD,5,6,5,NA,NA,NA
163,male,25,EnvyC,4,5,NA,NA,NA,4
164,male,29,PityC,5,6,NA,2,NA,NA
165,female,60,EnvyAD,6,7,NA,NA,7,NA
166,male,23,PityAD,5,7,1,NA,NA,NA
167,female,NA,Baseline,3,5,NA,NA,NA,NA
168,female,44,Baseline,3,6,NA,NA,NA,NA
169,male,45,PityAD,6,6,6,NA,NA,NA
170,male,28,EnvyC,4,6,NA,NA,NA,1
171,male,32,EnvyC,5,6,NA,NA,NA,3
