subject,sex,age,condition,pity.target,envy.target,pityAD.decoy,pityC.decoy,envyAD.decoy,envyC.decoy
172,male,28,Baseline,7,7,NA,NA,NA,NA
173,female,34,PityC,7,6,NA,1,NA,NA
174,female,25,EnvyAD,1,7,NA,NA,7,NA
175,other,29,PityC,6,7,NA,1,NA,NA
176,female,28,EnvyAD,5,7,NA,NA,3,NA
177,female,22,PityAD,5,7,3,NA,NA,NA
178,male,28,PityAD,5,7,3,NA,NA,NA
179,female,51,Baseline,6,6,NA,NA,NA,NA
180,female,23,EnvyAD,2,7,NA,NA,6,NA
181,female,30,EnvyC,6,7,NA,NA,NA,3
182,female,43,PityC,5,7,NA,1,NA,NA
183,female,25,EnvyAD,6,7,NA,NA,3,NA
184,female,56,EnvyC,4,6,NA,NA,NA,1
185,male,30,Baseline,7,6,NA,NA,NA,NA
186,male,32,PityC,6,7,NA,1,NA,NA
187,male,33,EnvyC,4,4,NA,NA,NA,4
188,female,63,PityAD,6,7,5,NA,NA,NA
189,male,39,PityC,6,6,NA,2,NA,NA
190,female,29,Baseline,5,7,NA,NA,NA,NA
191,male,23,EnvyAD,5,6,NA,NA,3,NA
192,male,29,EnvyC,3,5,NA,NA,NA,3
193,male,34,EnvyAD,7,5,NA,NA,3,NA
194,male,32,PityAD,5,6,5,NA,NA,NA
195,male,65,PityC,6,6,NA,2,NA,NA
196,male,42,Baseline,6,7,NA,NA,NA,NA
197,male,25,PityAD,5,6,2,NA,NA,NA
198,male,60,EnvyC,7,6,NA,NA,NA,2
199,female,39,Baseline,6,6,NA,NA,NA,NA
200,female,56,PityC,5,7,NA,5,NA,NA
201,male,36,EnvyAD,6,4,NA,NA,5,NA
202,male,22,PityAD,5,7,3,NA,NA,NA
203,female,30,PityAD,6,7,5,NA,NA,NA
204,male,42,Baseline,3,7,NA,NA,NA,NA
205,female,36,EnvyC,6,5,NA,NA,NA,2
206,female,32,EnvyAD,6,6,NA,NA,5,NA
207,female,30,PityC,5,6,NA,5,NA,NA
208,male,42,EnvyC,6,5,NA,NA,NA,2
209,male,47,EnvyAD,4,7,NA,NA,7,NA
210,male,39,Baseline,3,6,NA,NA,NA,NA
211,female,36,PityC,5,7,NA,1,NA,NA
212,male,28,PityAD,6,7,5,NA,NA,NA
213,female,32,EnvyC,5,7,NA,NA,NA,2
214,female,31,Baseline,6,7,NA,NA,NA,NA
215,male,29,EnvyAD,6,3,NA,NA,2,NA
216,male,32,PityC,6,5,NA,4,NA,NA
217,female,37,PityAD,7,5,5,NA,NA,NA
218,male,29,EnvyAD,6,7,NA,NA,5,NA
219,male,37,PityC,5,3,NA,2,NA,NA
220,female,30,EnvyC,7,7,NA,NA,NA,3
221,female,30,PityAD,6,6,4,NA,NA,NA
222,male,25,Baseline,5,6,NA,NA,NA,NA
223,male,31,PityC,5,6,NA,3,NA,NA
224,female,30,EnvyAD,5,6,NA,NA,3,NA
225,female,26,Baseline,5,4,NA,NA,NA,NA
226,female,35,EnvyC,4,6,NA,NA,NA,5
227,female,36,PityAD,7,4,2,NA,NA,NA
228,male,34,EnvyC,5,5,NA,NA,NA,1
229,female,29,Baseline,6,7,NA,NA,NA,NA
230,male,31,PityAD,5,6,4,NA,NA,NA
231,female,52,PityC,6,7,NA,5,NA,NA
232,male,27,EnvyC,4,5,NA,NA,NA,2
233,male,39,EnvyAD,5,6,NA,NA,6,NA
234,male,35,Baseline,5,6,NA,NA,NA,NA
235,female,29,PityC,5,5,NA,2,NA,NA
236,female,28,EnvyAD,5,7,NA,NA,6,NA
237,male,23,PityAD,6,6,2,NA,NA,NA
238,male,60,EnvyC,4,6,NA,NA,NA,3
239,female,24,PityC,6,5,NA,1,NA,NA
240,female,51,EnvyAD,6,5,NA,NA,5,NA
241,male,46,PityAD,3,5,3,NA,NA,NA
242,male,26,Baseline,6,6,NA,NA,NA,NA
243,female,56,PityC,7,5,NA,2,NA,NA
244,male,25,EnvyAD,6,5,NA,NA,5,NA
245,male,34,PityAD,5,5,4,NA,NA,NA
246,female,26,EnvyC,6,6,NA,NA,NA,2
247,female,25,Baseline,6,7,NA,NA,NA,NA
248,female,25,PityC,7,7,NA,1,NA,NA
249,female,40,EnvyC,3,6,NA,NA,NA,6
250,male,38,Baseline,6,5,NA,NA,NA,NA
251,female,22,EnvyAD,5,6,NA,NA,2,NA
252,female,73,PityAD,7,2,6,NA,NA,NA
253,female,55,PityC,5,6,NA,3,NA,NA
254,female,28,EnvyC,7,6,NA,NA,NA,5
255,male,31,Baseline,5,6,NA,NA,NA,NA
256,female,24,PityAD,6,5,3,NA,NA,NA
257,female,35,EnvyAD,7,6,NA,NA,2,NA
258,male,26,EnvyC,5,6,NA,NA,NA,2
259,male,28,EnvyAD,5,4,NA,NA,3,NA
260,male,36,Baseline,6,5,NA,NA,NA,NA
261,male,36,PityC,7,6,NA,3,NA,NA
262,male,46,PityAD,5,7,5,NA,NA,NA
263,male,32,PityAD,7,3,6,NA,NA,NA
264,male,26,Baseline,5,7,NA,NA,NA,NA
265,female,52,EnvyAD,7,6,NA,NA,5,NA
266,female,30,EnvyC,3,5,NA,NA,NA,5
267,female,22,PityC,5,7,NA,2,NA,NA
268,male,67,PityC,4,6,NA,1,NA,NA
269,female,45,Baseline,7,7,NA,NA,NA,NA
270,male,23,EnvyAD,6,7,NA,NA,6,NA
271,female,55,PityAD,6,3,5,NA,NA,NA
272,female,66,EnvyC,6,7,NA,NA,NA,6
273,female,25,Baseline,6,7,NA,NA,NA,NA
274,female,27,EnvyC,7,7,NA,NA,NA,5
275,female,59,PityC,4,4,NA,7,NA,NA
276,female,22,EnvyAD,5,7,NA,NA,5,NA
277,male,40,EnvyAD,3,5,NA,NA,3,NA
278,female,55,EnvyC,4,5,NA,NA,NA,5
279,female,34,Baseline,4,7,NA,NA,NA,NA
280,male,28,PityC,7,3,NA,1,NA,NA
281,female,58,PityC,6,7,NA,1,NA,NA
282,male,31,PityAD,6,6,6,NA,NA,NA
283,female,30,EnvyAD,5,7,NA,NA,7,NA
284,female,26,EnvyC,5,7,NA,NA,NA,1
285,male,43,Baseline,5,6,NA,NA,NA,NA
286,male,27,EnvyAD,3,7,NA,NA,5,NA
287,male,27,EnvyC,6,5,NA,NA,NA,4
288,female,33,Baseline,5,7,NA,NA,NA,NA
289,female,25,PityAD,4,5,3,NA,NA,NA
290,female,28,PityC,7,6,NA,4,NA,NA
291,male,53,PityC,6,4,NA,1,NA,NA
292,female,27,EnvyC,6,7,NA,NA,NA,3
293,female,37,EnvyAD,3,7,NA,NA,5,NA
294,male,41,Baseline,5,7,NA,NA,NA,NA
295,female,25,PityAD,5,7,3,NA,NA,NA
296,female,41,EnvyAD,5,6,NA,NA,5,NA
297,male,28,PityAD,3,6,2,NA,NA,NA
298,male,32,EnvyAD,6,3,NA,NA,3,NA
299,female,35,PityC,5,7,NA,1,NA,NA
300,male,29,EnvyC,5,6,NA,NA,NA,6
301,male,50,Baseline,5,7,NA,NA,NA,NA
302,female,63,EnvyC,5,7,NA,NA,NA,3
303,male,41,PityC,5,5,NA,5,NA,NA
304,female,45,PityAD,5,3,5,NA,NA,NA
305,female,55,Baseline,3,7,NA,NA,NA,NA
306,female,33,PityC,5,7,NA,1,NA,NA
307,female,36,Baseline,7,7,NA,NA,NA,NA
308,female,50,EnvyC,5,5,NA,NA,NA,2
309,female,25,EnvyAD,6,4,NA,NA,2,NA
310,female,52,PityAD,3,7,3,NA,NA,NA
311,female,33,EnvyAD,7,5,NA,NA,5,NA
312,female,33,Baseline,6,6,NA,NA,NA,NA
313,male,35,PityC,5,6,NA,2,NA,NA
314,female,32,PityAD,5,5,3,NA,NA,NA
315,male,44,EnvyC,5,7,NA,NA,NA,2
316,female,35,PityAD,6,6,7,NA,NA,NA
317,male,60,PityC,5,7,NA,3,NA,NA
318,male,32,Baseline,5,7,NA,NA,NA,NA
319,male,25,EnvyAD,4,5,NA,NA,4,NA
320,female,42,EnvyC,7,5,NA,NA,NA,4
321,female,30,PityC,6,5,NA,3,NA,NA
322,female,46,PityAD,6,7,3,NA,NA,NA
323,female,57,EnvyAD,5,7,NA,NA,3,NA
324,female,34,Baseline,6,6,NA,NA,NA,NA
325,male,36,EnvyC,3,6,NA,NA,NA,3
326,female,28,EnvyAD,5,6,NA,NA,3,NA
327,male,62,Baseline,3,6,NA,NA,NA,NA
328,female,42,EnvyC,6,6,NA,NA,NA,3
329,male,29,PityC,6,7,NA,2,NA,NA
330,male,40,PityAD,5,6,3,NA,NA,NA
331,male,35,PityAD,5,6,4,NA,NA,NA
332,male,24,PityC,5,7,NA,2,NA,NA
333,male,37,EnvyAD,5,6,NA,NA,5,NA
334,female,29,EnvyC,7,7,NA,NA,NA,1
335,female,33,Baseline,7,5,NA,NA,NA,NA
336,female,40,EnvyAD,2,6,NA,NA,5,NA
337,male,44,EnvyC,5,7,NA,NA,NA,5
338,male,20,PityAD,7,5,6,NA,NA,NA
339,female,42,Baseline,6,5,NA,NA,NA,NA
340,female,31,PityC,5,6,NA,2,NA,NA
341,female,31,PityC,5,5,NA,5,NA,NA
342,female,33,EnvyAD,7,5,NA,NA,4,NA
343,male,36,PityAD,3,5,4,NA,NA,NA
344,male,18,Baseline,7,5,NA,NA,NA,NA
345,male,49,EnvyC,5,7,NA,NA,NA,3
346,female,39,EnvyAD,6,6,NA,NA,4,NA
347,female,34,PityC,4,6,NA,3,NA,NA
348,male,28,Baseline,3,7,NA,NA,NA,NA
349,male,31,EnvyC,6,6,NA,NA,NA,2
350,female,33,PityC,7,6,NA,2,NA,NA
351,female,27,PityAD,4,5,3,NA,NA,NA
352,male,29,PityAD,4,7,3,NA,NA,NA
353,male,30,EnvyAD,5,6,NA,NA,6,NA
354,female,46,PityC,7,5,NA,3,NA,NA
355,male,26,EnvyC,2,6,NA,NA,NA,6
356,female,23,PityAD,5,5,3,NA,NA,NA
357,female,23,Baseline,6,5,NA,NA,NA,NA
358,female,30,Baseline,7,5,NA,NA,NA,NA
359,male,31,EnvyAD,6,6,NA,NA,5,NA
360,male,25,EnvyAD,2,7,NA,NA,6,NA
361,female,29,Baseline,7,3,NA,NA,NA,NA
362,female,27,EnvyC,2,6,NA,NA,NA,3
363,male,49,PityC,5,7,NA,2,NA,NA
364,female,43,EnvyAD,5,7,NA,NA,6,NA
365,other,31,PityAD,6,6,6,NA,NA,NA
366,female,42,Baseline,7,6,NA,NA,NA,NA
367,male,42,EnvyC,6,4,NA,NA,NA,2
368,male,38,EnvyC,6,5,NA,NA,NA,2
369,female,19,PityAD,6,5,7,NA,NA,NA
370,male,19,EnvyAD,4,7,NA,NA,5,NA
371,male,26,PityAD,3,7,2,NA,NA,NA
372,female,55,PityC,3,5,NA,6,NA,NA
373,female,40,Baseline,3,5,NA,NA,NA,NA
374,male,23,EnvyC,5,6,NA,NA,NA,2
375,female,51,EnvyAD,5,6,NA,NA,7,NA
376,female,43,Baseline,5,6,NA,NA,NA,NA
377,male,38,EnvyC,6,5,NA,NA,NA,3
378,female,29,PityC,6,5,NA,2,NA,NA
379,female,26,PityAD,6,5,3,NA,NA,NA
380,female,42,EnvyAD,7,7,NA,NA,7,NA
381,female,50,PityC,4,5,NA,1,NA,NA
382,female,32,PityAD,7,7,5,NA,NA,NA
383,female,53,EnvyC,5,7,NA,NA,NA,2
384,female,66,Baseline,5,7,NA,NA,NA,NA
385,female,31,EnvyC,5,6,NA,NA,NA,2
386,female,47,PityC,6,5,NA,2,NA,NA
387,male,23,PityAD,5,5,5,NA,NA,NA
388,female,22,EnvyAD,7,6,NA,NA,5,NA
389,male,34,Baseline,6,7,NA,NA,NA,NA
390,female,27,PityAD,7,6,6,NA,NA,NA
391,female,57,EnvyC,5,7,NA,NA,NA,5
392,female,30,Baseline,6,7,NA,NA,NA,NA
393,female,39,PityC,4,5,NA,2,NA,NA
394,female,39,Baseline,5,6,NA,NA,NA,NA
395,male,34,EnvyAD,4,4,NA,NA,4,NA
396,female,34,PityAD,5,7,6,NA,NA,NA
397,male,26,PityC,3,7,NA,2,NA,NA
398,female,43,EnvyC,6,6,NA,NA,NA,7
399,female,24,EnvyAD,2,6,NA,NA,5,NA
400,male,36,Baseline,7,3,NA,NA,NA,NA
401,male,23,EnvyC,5,7,NA,NA,NA,5
402,male,30,PityAD,7,3,5,NA,NA,NA
403,female,45,PityC,5,7,NA,2,NA,NA
404,male,30,EnvyAD,6,5,NA,NA,2,NA
405,female,60,EnvyAD,4,6,NA,NA,5,NA
406,female,35,Baseline,5,6,NA,NA,NA,NA
407,male,46,EnvyC,1,7,NA,NA,NA,1
408,male,24,PityAD,4,6,3,NA,NA,NA
409,female,22,PityC,5,7,NA,1,NA,NA
410,male,27,Baseline,6,7,NA,NA,NA,NA
411,male,29,PityAD,5,7,3,NA,NA,NA
412,male,34,EnvyAD,5,7,NA,NA,3,NA
413,male,36,PityAD,5,6,3,NA,NA,NA
414,male,22,EnvyC,6,5,NA,NA,NA,2
415,female,62,PityC,4,6,NA,2,NA,NA
416,female,31,EnvyC,5,6,NA,NA,NA,3
417,male,32,PityC,5,7,NA,2,NA,NA
418,female,24,Baseline,3,6,NA,NA,NA,NA
419,female,54,EnvyAD,6,6,NA,NA,7,NA
420,male,26,PityAD,3,5,5,NA,NA,NA
421,female,47,PityC,3,5,NA,1,NA,NA
422,female,31,EnvyAD,7,7,NA,NA,7,NA
423,male,47,Baseline,6,5,NA,NA,NA,NA
424,male,30,PityC,5,6,NA,3,NA,NA
425,female,44,EnvyC,7,6,NA,NA,NA,3
426,female,33,Baseline,6,5,NA,NA,NA,NA
427,male,43,PityAD,5,6,4,NA,NA,NA
428,male,27,EnvyC,4,5,NA,NA,NA,6
429,male,33,PityAD,5,7,3,NA,NA,NA
430,male,26,EnvyAD,6,5,NA,NA,3,NA
431,female,36,EnvyC,3,7,NA,NA,NA,2
432,male,33,EnvyAD,3,6,NA,NA,6,NA
433,male,38,PityC,7,7,NA,3,NA,NA
434,female,26,Baseline,5,6,NA,NA,NA,NA
435,female,28,PityAD,5,6,6,NA,NA,NA
436,female,23,Baseline,4,6,NA,NA,NA,NA
437,male,53,EnvyAD,2,7,NA,NA,1,NA
438,female,20,EnvyC,5,3,NA,NA,NA,3
439,female,31,PityC,6,6,NA,1,NA,NA
440,female,46,EnvyC,4,6,NA,NA,NA,4
441,female,31,PityAD,7,6,5,NA,NA,NA
442,male,32,EnvyAD,6,4,NA,NA,3,NA
443,male,48,PityC,7,6,NA,1,NA,NA
444,female,47,Baseline,6,7,NA,NA,NA,NA
445,female,62,PityC,5,7,NA,2,NA,NA
446,female,57,Baseline,5,6,NA,NA,NA,NA
447,male,25,EnvyC,3,7,NA,NA,NA,6
448,female,31,PityAD,5,7,2,NA,NA,NA
449,male,27,EnvyAD,6,7,NA,NA,5,NA
450,female,39,EnvyAD,5,6,NA,NA,3,NA
451,male,41,PityAD,5,5,3,NA,NA,NA
452,female,36,Baseline,5,3,NA,NA,NA,NA
453,male,33,PityC,5,6,NA,5,NA,NA
454,female,50,PityC,6,2,NA,1,NA,NA
455,female,31,EnvyC,5,7,NA,NA,NA,3
456,female,33,PityAD,5,7,2,NA,NA,NA
457,male,47,EnvyAD,6,6,NA,NA,6,NA
458,female,27,Baseline,7,5,NA,NA,NA,NA
459,male,32,EnvyC,7,7,NA,NA,NA,1
460,male,19,Baseline,5,5,NA,NA,NA,NA
461,male,23,EnvyC,7,5,NA,NA,NA,4
462,female,32,PityC,5,6,NA,1,NA,NA
463,female,20,PityAD,7,7,5,NA,NA,NA
464,female,23,Baseline,5,3,NA,NA,NA,NA
465,female,38,EnvyAD,3,7,NA,NA,5,NA
466,male,29,PityAD,7,6,2,NA,NA,NA
467,male,49,EnvyC,6,7,NA,NA,NA,3
468,female,22,PityC,7,6,NA,2,NA,NA
469,female,23,EnvyAD,6,7,NA,NA,5,NA
470,female,61,EnvyAD,4,5,NA,NA,4,NA
471,male,24,PityC,5,6,NA,1,NA,NA
472,female,39,Baseline,6,5,NA,NA,NA,NA
473,female,24,EnvyC,5,6,NA,NA,NA,2
474,female,39,PityAD,5,5,2,NA,NA,NA
475,male,31,Baseline,5,7,NA,NA,NA,NA
476,female,29,PityAD,6,4,5,NA,NA,NA
477,male,32,PityC,5,7,NA,2,NA,NA
478,male,49,EnvyAD,7,3,NA,NA,1,NA
479,female,24,EnvyC,5,5,NA,NA,NA,3
480,female,42,EnvyC,7,5,NA,NA,NA,3
481,male,49,Baseline,5,6,NA,NA,NA,NA
482,female,27,PityC,6,6,NA,1,NA,NA
483,male,45,PityAD,5,5,5,NA,NA,NA
484,female,28,EnvyAD,5,6,NA,NA,6,NA
485,female,21,PityC,5,6,NA,2,NA,NA
486,male,19,EnvyC,6,6,NA,NA,NA,6
487,female,34,Baseline,6,6,NA,NA,NA,NA
488,female,26,EnvyC,6,7,NA,NA,NA,3
489,male,30,EnvyAD,6,7,NA,NA,6,NA
490,female,26,PityAD,5,6,4,NA,NA,NA
491,male,45,EnvyAD,5,5,NA,NA,4,NA
492,female,37,Baseline,5,6,NA,NA,NA,NA
493,female,45,PityC,6,6,NA,2,NA,NA
494,female,32,PityAD,6,6,7,NA,NA,NA
495,male,54,PityAD,5,5,4,NA,NA,NA
496,male,54,Baseline,3,6,NA,NA,NA,NA
497,female,32,EnvyC,6,6,NA,NA,NA,5
498,female,23,Baseline,7,5,NA,NA,NA,NA
499,male,26,EnvyAD,2,6,NA,NA,7,NA
500,female,36,EnvyAD,4,5,NA,NA,4,NA
501,female,37,PityC,7,6,NA,2,NA,NA
502,female,49,PityAD,7,5,3,NA,NA,NA
503,male,54,EnvyC,1,6,NA,NA,NA,2
504,female,27,Baseline,7,5,NA,NA,NA,NA
505,male,20,PityC,7,6,NA,2,NA,NA
506,female,31,EnvyC,3,5,NA,NA,NA,7
507,male,27,EnvyAD,7,7,NA,NA,7,NA
508,female,36,PityAD,6,7,5,NA,NA,NA
509,female,22,PityC,5,6,NA,4,NA,NA
510,male,34,EnvyC,5,5,NA,NA,NA,6
511,male,28,Baseline,4,4,NA,NA,NA,NA
512,female,49,PityAD,6,5,5,NA,NA,NA
513,female,38,EnvyAD,6,7,NA,NA,5,NA
514,female,32,PityC,6,7,NA,2,NA,NA
515,male,30,EnvyC,5,6,NA,NA,NA,2
516,male,38,EnvyAD,6,7,NA,NA,7,NA
517,female,36,PityC,5,5,NA,3,NA,NA
518,female,22,PityAD,7,7,7,NA,NA,NA
519,male,56,EnvyAD,6,5,NA,NA,5,NA
520,male,26,Baseline,5,7,NA,NA,NA,NA
521,male,23,EnvyC,4,6,NA,NA,NA,5
