subject,sex,age,condition,pity.target,envy.target,pityAD,envyAD
1,female,30,EnvyAD,5,7,NA,4
2,female,30,Baseline,6,4,NA,NA
3,female,25,Baseline,7,6,NA,NA
4,female,54,PityAD,7,6,6,NA
5,male,19,PityAD,5,6,2,NA
6,female,31,EnvyAD,5,4,NA,3
7,male,22,EnvyAD,6,7,NA,3
8,male,33,Baseline,7,5,NA,NA
9,male,59,PityAD,7,4,5,NA
10,female,25,Baseline,5,7,NA,NA
11,male,44,PityAD,6,6,6,NA
12,male,37,EnvyAD,3,7,NA,5
13,male,33,EnvyAD,7,6,NA,7
14,female,24,Baseline,7,7,NA,NA
15,female,59,Baseline,5,6,NA,NA
16,female,31,PityAD,7,5,4,NA
17,male,46,PityAD,6,4,3,NA
18,female,64,EnvyAD,7,7,NA,7
19,male,34,Baseline,5,7,NA,NA
20,female,29,PityAD,5,7,2,NA
21,male,38,PityAD,7,3,7,NA
22,female,29,EnvyAD,3,7,NA,4
23,female,25,PityAD,7,6,6,NA
24,male,30,PityAD,6,5,3,NA
25,female,29,Baseline,7,7,NA,NA
26,male,39,EnvyAD,6,6,NA,6
27,male,39,Baseline,6,3,NA,NA
28,male,23,EnvyAD,5,6,NA,3
29,female,40,Baseline,3,7,NA,NA
30,female,43,PityAD,5,4,3,NA
31,female,41,Baseline,4,5,NA,NA
32,male,30,EnvyAD,5,7,NA,6
33,female,39,EnvyAD,5,6,NA,6
34,female,33,PityAD,7,6,7,NA
35,male,25,Baseline,7,7,NA,NA
36,female,24,Baseline,3,6,NA,NA
37,female,47,EnvyAD,5,6,NA,3
38,female,35,Baseline,5,6,NA,NA
39,female,32,EnvyAD,3,6,NA,5
40,male,48,PityAD,6,5,6,NA
41,male,30,PityAD,5,6,3,NA
42,female,37,EnvyAD,5,6,NA,5
43,male,21,EnvyAD,6,6,NA,6
44,male,32,Baseline,5,6,NA,NA
45,male,40,PityAD,6,6,2,NA
46,female,32,EnvyAD,5,4,NA,4
47,male,35,PityAD,6,7,6,NA
48,male,32,Baseline,6,6,NA,NA
49,female,41,PityAD,6,7,6,NA
50,female,30,EnvyAD,4,5,NA,3
51,female,33,Baseline,3,6,NA,NA
52,female,37,PityAD,5,7,2,NA
53,female,29,Baseline,6,5,NA,NA
54,female,59,EnvyAD,3,5,NA,5
55,male,25,EnvyAD,7,5,NA,2
56,female,51,Baseline,5,6,NA,NA
57,male,30,PityAD,5,6,4,NA
58,female,42,PityAD,7,3,6,NA
59,female,35,EnvyAD,6,5,NA,6
60,female,33,Baseline,7,7,NA,NA
61,male,20,EnvyAD,6,5,NA,6
62,female,62,Baseline,5,6,NA,NA
63,male,33,Baseline,5,6,NA,NA
64,male,23,EnvyAD,3,7,NA,6
65,female,54,EnvyAD,4,5,NA,3
66,male,62,PityAD,6,6,3,NA
67,female,35,Baseline,6,7,NA,NA
68,female,22,PityAD,7,7,7,NA
69,female,36,PityAD,7,6,3,NA
70,female,44,PityAD,4,6,5,NA
71,female,29,EnvyAD,5,3,NA,3
72,female,70,PityAD,7,7,6,NA
73,male,33,Baseline,6,6,NA,NA
74,female,43,EnvyAD,2,7,NA,2
75,male,28,Baseline,7,5,NA,NA
76,female,37,EnvyAD,4,6,NA,7
77,male,59,Baseline,5,6,NA,NA
78,female,31,PityAD,6,3,4,NA
79,female,28,Baseline,4,7,NA,NA
80,male,64,PityAD,5,3,2,NA
81,female,42,EnvyAD,4,5,NA,5
82,female,31,EnvyAD,6,7,NA,5
83,female,29,PityAD,6,3,3,NA
84,male,35,Baseline,5,6,NA,NA
85,female,30,EnvyAD,7,7,NA,7
86,male,66,PityAD,4,7,4,NA
87,female,34,Baseline,5,6,NA,NA
88,female,38,EnvyAD,4,7,NA,6
89,male,42,Baseline,5,7,NA,NA
90,female,37,PityAD,5,6,3,NA
91,male,31,PityAD,6,7,6,NA
92,female,30,EnvyAD,5,7,NA,3
93,female,51,EnvyAD,5,6,NA,5
94,male,26,Baseline,7,7,NA,NA
95,female,31,Baseline,6,7,NA,NA
96,female,32,PityAD,5,6,4,NA
97,female,34,PityAD,4,4,4,NA
98,female,24,Baseline,5,7,NA,NA
99,female,57,EnvyAD,3,5,NA,4
100,female,51,EnvyAD,6,5,NA,6
101,male,28,Baseline,7,7,NA,NA
102,female,34,Baseline,6,7,NA,NA
103,male,33,PityAD,6,7,5,NA
104,male,30,PityAD,3,2,7,NA
105,female,31,EnvyAD,5,7,NA,3
106,female,37,Baseline,7,6,NA,NA
107,male,27,PityAD,7,5,5,NA
108,male,28,Baseline,4,6,NA,NA
109,female,23,PityAD,7,3,4,NA
110,female,47,EnvyAD,6,5,NA,3
111,male,33,EnvyAD,7,7,NA,7
112,female,50,Baseline,5,7,NA,NA
113,female,36,PityAD,6,6,7,NA
114,male,27,Baseline,6,7,NA,NA
115,female,33,EnvyAD,7,7,NA,7
116,female,32,PityAD,5,7,5,NA
117,female,29,Baseline,3,5,NA,NA
118,female,49,EnvyAD,7,6,NA,5
119,male,31,PityAD,4,7,4,NA
120,female,29,PityAD,6,5,7,NA
121,female,26,EnvyAD,6,5,NA,3
122,female,40,Baseline,5,5,NA,NA
123,male,31,Baseline,4,5,NA,NA
124,female,27,PityAD,6,7,2,NA
125,female,21,EnvyAD,7,5,NA,1
126,male,33,PityAD,6,5,5,NA
127,female,31,Baseline,5,6,NA,NA
128,male,53,EnvyAD,3,6,NA,3
129,female,27,EnvyAD,3,7,NA,2
130,female,61,PityAD,4,6,3,NA
131,male,22,Baseline,5,6,NA,NA
132,male,40,PityAD,2,7,1,NA
133,female,28,Baseline,4,6,NA,NA
134,female,25,Baseline,6,5,NA,NA
135,female,30,PityAD,7,3,5,NA
136,male,25,EnvyAD,6,5,NA,4
137,male,28,Baseline,2,6,NA,NA
138,female,42,EnvyAD,2,6,NA,4
139,female,32,PityAD,6,5,2,NA
140,female,47,EnvyAD,2,7,NA,5
141,male,28,PityAD,5,7,3,NA
142,female,39,EnvyAD,6,6,NA,5
143,male,21,Baseline,6,7,NA,NA
144,male,29,Baseline,7,2,NA,NA
145,female,34,PityAD,5,5,3,NA
146,female,49,EnvyAD,6,6,NA,6
147,female,31,EnvyAD,5,7,NA,6
148,male,35,Baseline,5,7,NA,NA
149,female,54,Baseline,7,5,NA,NA
150,female,63,PityAD,5,6,1,NA
151,female,24,EnvyAD,6,7,NA,3
152,female,30,Baseline,6,5,NA,NA
153,male,41,PityAD,7,3,5,NA
154,female,70,PityAD,4,6,3,NA
155,female,65,EnvyAD,6,7,NA,7
156,female,30,EnvyAD,5,7,NA,3
157,male,26,Baseline,7,6,NA,NA
158,male,26,PityAD,5,6,3,NA
159,female,27,Baseline,5,4,NA,NA
160,female,41,EnvyAD,5,6,NA,5
161,male,33,EnvyAD,5,7,NA,6
162,female,22,PityAD,6,7,5,NA
163,female,34,Baseline,6,5,NA,NA
164,female,35,PityAD,6,5,6,NA
165,female,34,Baseline,7,5,NA,NA
166,female,56,PityAD,5,6,3,NA
167,female,24,PityAD,6,7,6,NA
168,female,26,EnvyAD,4,4,NA,2
169,male,43,EnvyAD,4,6,NA,3
170,female,23,Baseline,7,5,NA,NA
171,female,27,PityAD,6,3,4,NA
172,female,64,Baseline,6,6,NA,NA
173,male,40,PityAD,6,5,5,NA
174,male,27,EnvyAD,4,6,NA,5
175,male,19,Baseline,5,6,NA,NA
176,female,22,PityAD,6,5,3,NA
177,female,64,EnvyAD,4,5,NA,5
178,male,26,Baseline,6,5,NA,NA
179,male,32,EnvyAD,2,4,NA,6
180,male,23,PityAD,6,7,5,NA
181,male,32,Baseline,4,6,NA,NA
