subject,sex,age,condition,pity.target,envy.target,pityAD,envyAD
182,female,54,EnvyAD,7,6,NA,1
183,male,62,EnvyAD,5,6,NA,4
184,female,24,Baseline,7,4,NA,NA
185,female,26,PityAD,6,5,4,NA
186,female,34,EnvyAD,5,7,NA,6
187,male,38,PityAD,5,4,5,NA
188,female,30,Baseline,7,6,NA,NA
189,female,50,EnvyAD,3,7,NA,5
190,female,26,PityAD,6,3,5,NA
191,female,48,Baseline,5,6,NA,NA
192,female,26,EnvyAD,5,6,NA,6
193,male,31,Baseline,7,6,NA,NA
194,male,67,EnvyAD,6,5,NA,4
195,female,26,EnvyAD,6,4,NA,5
196,female,27,Baseline,6,3,NA,NA
197,female,54,PityAD,4,6,4,NA
198,female,22,Baseline,5,7,NA,NA
199,male,26,PityAD,6,3,5,NA
200,female,44,Baseline,5,7,NA,NA
201,male,18,PityAD,3,6,2,NA
202,female,35,EnvyAD,4,5,NA,2
203,female,26,PityAD,6,6,3,NA
204,female,37,EnvyAD,3,7,NA,5
205,female,41,Baseline,5,6,NA,NA
206,female,38,Baseline,3,5,NA,NA
207,male,28,PityAD,7,3,6,NA
208,male,49,EnvyAD,6,5,NA,4
209,male,28,Baseline,6,5,NA,NA
210,male,31,EnvyAD,5,5,NA,2
211,female,24,PityAD,7,5,5,NA
212,male,26,PityAD,5,3,5,NA
213,male,44,EnvyAD,7,4,NA,3
214,female,35,Baseline,2,7,NA,NA
215,female,41,Baseline,6,5,NA,NA
216,male,19,EnvyAD,2,7,NA,7
217,male,71,PityAD,4,5,3,NA
218,female,33,Baseline,7,7,NA,NA
219,female,28,EnvyAD,5,6,NA,3
220,female,27,PityAD,6,7,7,NA
221,female,34,Baseline,5,6,NA,NA
222,male,35,PityAD,5,7,4,NA
223,other,29,EnvyAD,5,7,NA,5
224,female,31,EnvyAD,2,7,NA,2
225,male,65,Baseline,6,6,NA,NA
226,male,24,PityAD,5,5,6,NA
227,male,32,Baseline,5,7,NA,NA
228,female,35,EnvyAD,6,7,NA,5
229,female,33,PityAD,7,6,7,NA
230,male,23,EnvyAD,6,6,NA,6
231,female,25,Baseline,6,5,NA,NA
232,female,56,PityAD,7,6,6,NA
233,female,33,Baseline,7,6,NA,NA
234,female,26,EnvyAD,6,5,NA,2
235,male,20,PityAD,3,6,2,NA
236,male,28,Baseline,7,5,NA,NA
237,male,30,PityAD,6,4,7,NA
238,female,26,Baseline,6,6,NA,NA
239,female,48,EnvyAD,6,6,NA,5
240,male,22,PityAD,6,3,2,NA
241,male,20,PityAD,7,6,4,NA
242,female,60,EnvyAD,7,5,NA,5
243,female,25,EnvyAD,6,6,NA,6
244,male,32,EnvyAD,7,5,NA,5
245,male,18,PityAD,5,6,5,NA
246,male,22,PityAD,5,5,1,NA
247,female,59,Baseline,7,7,NA,NA
248,male,22,Baseline,6,5,NA,NA
249,female,44,Baseline,6,7,NA,NA
250,female,45,Baseline,3,7,NA,NA
251,male,26,EnvyAD,3,7,NA,6
252,female,22,PityAD,5,6,3,NA
253,male,47,EnvyAD,3,7,NA,7
254,male,30,Baseline,5,3,NA,NA
255,male,40,EnvyAD,5,6,NA,3
256,male,30,EnvyAD,1,3,NA,7
257,male,30,PityAD,6,7,3,NA
258,female,39,Baseline,7,6,NA,NA
259,male,25,PityAD,5,5,3,NA
260,female,30,PityAD,3,5,3,NA
261,female,45,EnvyAD,7,4,NA,2
262,male,28,EnvyAD,6,6,NA,5
263,male,29,Baseline,6,2,NA,NA
264,male,29,PityAD,6,7,5,NA
265,female,34,Baseline,5,6,NA,NA
266,female,21,PityAD,7,6,5,NA
267,male,32,Baseline,5,7,NA,NA
268,male,19,EnvyAD,3,7,NA,6
269,female,21,Baseline,7,6,NA,NA
270,male,30,PityAD,5,7,5,NA
271,female,34,Baseline,5,5,NA,NA
272,female,33,EnvyAD,5,5,NA,7
273,prefer not to answer,45,EnvyAD,4,6,NA,6
274,male,35,PityAD,6,6,2,NA
275,male,33,Baseline,3,7,NA,NA
276,female,32,EnvyAD,5,6,NA,3
277,female,33,PityAD,7,5,3,NA
278,male,18,Baseline,5,7,NA,NA
279,male,23,EnvyAD,5,5,NA,5
280,male,33,PityAD,7,6,5,NA
281,male,31,PityAD,5,5,3,NA
282,male,33,Baseline,4,6,NA,NA
283,male,25,EnvyAD,4,5,NA,6
284,male,46,PityAD,4,6,2,NA
285,female,35,EnvyAD,6,6,NA,3
286,female,28,EnvyAD,2,6,NA,5
287,male,56,PityAD,5,6,5,NA
288,female,34,Baseline,7,1,NA,NA
289,female,49,PityAD,5,7,5,NA
290,female,25,Baseline,5,7,NA,NA
291,female,25,EnvyAD,7,6,NA,3
292,female,33,EnvyAD,3,6,NA,3
293,female,34,Baseline,5,6,NA,NA
294,male,34,PityAD,7,4,5,NA
295,female,56,PityAD,3,7,3,NA
296,female,30,EnvyAD,5,5,NA,4
297,male,49,Baseline,7,6,NA,NA
298,male,36,Baseline,5,6,NA,NA
299,male,37,PityAD,5,7,2,NA
300,male,24,Baseline,3,6,NA,NA
301,male,24,EnvyAD,3,3,NA,6
302,male,25,EnvyAD,5,6,NA,3
303,male,32,PityAD,7,1,3,NA
304,female,30,Baseline,5,6,NA,NA
305,female,22,EnvyAD,4,5,NA,4
306,male,28,PityAD,7,6,7,NA
307,male,30,Baseline,7,7,NA,NA
308,male,32,EnvyAD,3,6,NA,5
309,female,32,EnvyAD,3,7,NA,5
310,male,35,PityAD,6,3,3,NA
311,female,32,Baseline,6,7,NA,NA
312,male,26,Baseline,6,7,NA,NA
313,male,51,EnvyAD,5,4,NA,3
314,female,31,PityAD,7,6,5,NA
315,female,31,EnvyAD,2,7,NA,6
316,male,44,PityAD,6,5,5,NA
317,male,22,PityAD,4,6,3,NA
318,male,52,Baseline,7,5,NA,NA
319,male,28,PityAD,5,4,3,NA
320,male,33,Baseline,3,6,NA,NA
321,female,55,EnvyAD,4,5,NA,4
322,male,32,EnvyAD,4,6,NA,6
323,male,28,Baseline,3,5,NA,NA
324,male,22,PityAD,7,4,5,NA
325,male,27,Baseline,7,3,NA,NA
326,female,38,EnvyAD,6,7,NA,6
327,female,32,PityAD,5,2,3,NA
328,male,28,PityAD,7,4,5,NA
329,female,32,Baseline,6,6,NA,NA
330,female,32,EnvyAD,4,6,NA,3
331,male,34,Baseline,5,6,NA,NA
332,male,19,EnvyAD,5,5,NA,4
333,female,24,PityAD,7,6,5,NA
334,male,30,PityAD,6,7,5,NA
335,male,53,Baseline,7,7,NA,NA
336,male,31,EnvyAD,3,5,NA,1
337,male,28,PityAD,6,5,3,NA
338,male,21,PityAD,6,5,6,NA
339,female,27,EnvyAD,5,5,NA,4
340,male,22,Baseline,6,5,NA,NA
341,female,33,EnvyAD,7,7,NA,7
342,male,67,Baseline,3,6,NA,NA
343,female,32,Baseline,6,5,NA,NA
344,male,34,PityAD,7,6,5,NA
345,other,24,EnvyAD,5,6,NA,3
346,male,52,Baseline,7,2,NA,NA
347,male,38,PityAD,2,6,2,NA
348,female,28,EnvyAD,7,6,NA,6
349,male,29,Baseline,4,6,NA,NA
350,male,37,Baseline,3,6,NA,NA
351,male,39,EnvyAD,3,7,NA,5
352,male,31,PityAD,2,6,2,NA
353,male,37,EnvyAD,2,6,NA,2
354,female,56,EnvyAD,7,5,NA,3
355,male,25,Baseline,6,5,NA,NA
356,male,23,PityAD,6,7,6,NA
357,male,29,PityAD,5,7,5,NA
358,male,34,Baseline,5,6,NA,NA
359,male,39,Baseline,6,5,NA,NA
360,male,34,PityAD,6,5,5,NA
361,male,34,EnvyAD,5,7,NA,3
362,female,28,EnvyAD,6,5,NA,5
363,female,27,PityAD,4,6,3,NA
364,male,27,Baseline,6,6,NA,NA
365,female,31,PityAD,6,5,4,NA
366,male,35,EnvyAD,2,7,NA,3
367,male,47,EnvyAD,3,5,NA,5
368,female,39,Baseline,6,5,NA,NA
369,female,27,PityAD,5,6,5,NA
370,female,21,Baseline,6,5,NA,NA
371,male,20,PityAD,6,5,6,NA
372,male,21,Baseline,7,5,NA,NA
373,male,32,EnvyAD,7,4,NA,4
374,male,28,Baseline,5,4,NA,NA
375,female,50,EnvyAD,5,2,NA,2
376,male,40,PityAD,3,7,2,NA
377,female,26,Baseline,7,5,NA,NA
378,female,45,EnvyAD,7,3,NA,2
379,male,38,PityAD,5,6,2,NA
380,female,63,PityAD,5,6,5,NA
381,female,24,EnvyAD,5,5,NA,2
382,female,20,Baseline,6,5,NA,NA
383,male,18,EnvyAD,3,7,NA,3
384,female,52,PityAD,7,5,5,NA
385,female,49,Baseline,5,4,NA,NA
386,female,27,PityAD,7,3,5,NA
387,female,66,EnvyAD,5,7,NA,4
388,male,24,EnvyAD,6,6,NA,5
389,male,45,Baseline,1,7,NA,NA
390,male,28,EnvyAD,6,5,NA,2
391,female,33,Baseline,6,3,NA,NA
392,female,58,PityAD,6,7,2,NA
393,male,26,EnvyAD,7,7,NA,7
394,female,42,PityAD,4,7,2,NA
395,male,49,PityAD,6,4,5,NA
396,female,27,Baseline,2,6,NA,NA
397,male,29,EnvyAD,1,7,NA,5
398,male,27,Baseline,6,5,NA,NA
399,female,49,Baseline,7,7,NA,NA
400,male,33,EnvyAD,6,5,NA,2
401,female,60,PityAD,3,6,2,NA
402,female,25,EnvyAD,4,4,NA,5
403,male,33,PityAD,4,6,3,NA
404,male,32,Baseline,5,7,NA,NA
405,female,53,PityAD,5,7,2,NA
406,female,26,Baseline,5,7,NA,NA
407,male,41,PityAD,5,6,2,NA
408,male,36,EnvyAD,3,7,NA,6
409,female,35,PityAD,6,4,7,NA
410,female,42,EnvyAD,6,6,NA,6
411,male,27,Baseline,5,7,NA,NA
412,female,32,Baseline,6,3,NA,NA
413,prefer not to answer,31,PityAD,6,6,6,NA
414,male,22,PityAD,1,7,1,NA
415,male,33,EnvyAD,7,5,NA,4
416,female,35,EnvyAD,6,5,NA,4
417,female,44,Baseline,7,6,NA,NA
418,female,29,Baseline,5,7,NA,NA
419,male,23,EnvyAD,4,6,NA,2
420,male,34,EnvyAD,7,6,NA,5
421,female,35,PityAD,7,6,6,NA
422,male,36,PityAD,5,6,3,NA
423,male,34,PityAD,7,5,6,NA
424,female,26,Baseline,5,6,NA,NA
425,male,26,EnvyAD,5,5,NA,4
426,female,27,EnvyAD,5,5,NA,5
427,female,25,PityAD,5,5,3,NA
428,female,21,EnvyAD,6,5,NA,3
429,male,20,Baseline,6,7,NA,NA
430,female,35,PityAD,6,4,6,NA
431,male,27,PityAD,4,5,2,NA
432,female,21,Baseline,3,6,NA,NA
433,female,35,EnvyAD,5,4,NA,3
434,female,25,Baseline,7,5,NA,NA
435,female,30,PityAD,4,6,2,NA
436,male,32,EnvyAD,7,5,NA,2
437,male,20,Baseline,5,6,NA,NA
438,female,51,PityAD,7,4,5,NA
439,other,25,Baseline,5,3,NA,NA
440,male,28,EnvyAD,3,6,NA,7
441,male,40,PityAD,7,6,3,NA
442,female,55,EnvyAD,7,7,NA,5
443,male,27,Baseline,3,7,NA,NA
444,male,25,PityAD,3,5,5,NA
445,male,21,Baseline,6,5,NA,NA
446,female,38,PityAD,5,3,2,NA
447,male,29,EnvyAD,4,5,NA,3
448,female,20,Baseline,7,6,NA,NA
449,male,29,EnvyAD,5,6,NA,5
450,male,24,PityAD,4,5,3,NA
451,male,21,EnvyAD,7,1,NA,1
452,female,37,Baseline,5,7,NA,NA
453,female,86,EnvyAD,3,3,NA,3
454,female,48,Baseline,2,7,NA,NA
455,male,24,PityAD,4,6,3,NA
456,female,30,EnvyAD,6,5,NA,6
457,female,57,Baseline,5,2,NA,NA
458,female,24,Baseline,5,6,NA,NA
459,male,23,PityAD,2,7,6,NA
460,female,36,EnvyAD,5,5,NA,3
461,female,34,PityAD,5,3,6,NA
462,male,22,EnvyAD,5,7,NA,1
463,female,41,Baseline,3,6,NA,NA
464,male,41,PityAD,5,6,7,NA
465,male,27,Baseline,5,7,NA,NA
466,male,36,EnvyAD,6,6,NA,5
467,female,24,Baseline,5,7,NA,NA
468,male,21,PityAD,6,5,5,NA
469,male,34,EnvyAD,6,6,NA,5
470,male,24,EnvyAD,5,7,NA,5
471,male,21,PityAD,6,6,5,NA
472,male,48,Baseline,5,7,NA,NA
473,male,34,EnvyAD,3,7,NA,7
474,male,44,Baseline,3,6,NA,NA
475,male,42,PityAD,6,2,3,NA
476,male,31,PityAD,5,6,3,NA
477,female,75,EnvyAD,1,7,NA,6
478,female,31,Baseline,6,7,NA,NA
479,male,36,Baseline,6,6,NA,NA
480,male,32,PityAD,5,1,6,NA
