"subject","sex","age"
"3310000","Male",31
"3310477","Female",28
"3310750","Male",44
"3328202","Male",32
"3339804","Male",30
"3347068","Female",36
"3349658","Male",34
"3351293","Male",54
"3358993","Male",23
"3368985","Male",34
"3383396","Male",29
"3393134","Male",35
"3393152","Female",36
"3394080","Male",63
"3416771","Female",26
"3437032","Male",48
"3439117","Male",29
"3444599","Male",54
"3460959","Male",23
"3469213","Female",23
"3524478","Male",51
"3552753","Male",21
"3580236","Male",26
"3603196","Female",51
"3618386","Male",28
"3641992","Female",34
"3650972","Male",26
"3668422","Female",41
"3677860","Female",21
"3678158","Female",26
"3678466","Male",30
"3682713","Female",38
"3700734","Male",35
"3704151","Female",66
"3708129","Male",61
"3713226","Female",19
"3720274","Male",18
"3726459","Male",31
"3742878","Male",31
"3743747","Female",34
"3782950","Male",36
"3785294","Female",34
"3800598","Female",33
"3812612","Female",24
"3818843","Female",36
"3846329","Male",47
"3848805","Female",44
"3872601","Male",23
"3873650","Female",41
"3887285","Female",45
"3889912","Female",45
"3904594","Female",33
"3920846","Male",33
"3925471","Male",32
"3937413","Female",25
"3941037","Female",39
"3945922","Male",30
"3962734","Female",25
"3967185","Male",25
"3989006","Female",35
"3999298","Male",23
"3999382","Male",41
"4021924","Female",34
"4022936","Female",28
"4030383","Male",38
"4035368","Female",33
"4035681","Male",53
"4040494","Male",31
"4045600","Male",23
"4050446","Female",41
"4051524","Female",23
"4052907","Female",26
"4059680","Male",30
"4066193","Female",29
"4078915","Female",22
"4082712","Male",19
"4085447","Female",21
"4100291","Female",45
"4102169","Female",20
"4105709","Male",28
"4108003","Male",38
"4114794","Female",30
"4118238","Male",70
"4125026","Female",31
"4148991","Male",30
"4162665","Male",42
"4163790","Female",29
"4206802","Female",29
"4215309","Male",22
"4222914","Female",23
"4223359","Female",41
"4226514","Male",31
"4230944","Female",30
"4253840","Male",30
"4254786","Male",34
"4275963","Female",42
"4288607","Male",33
"4295530","Male",20
"4300240","Female",25
"4300518","Female",22
"4315520","Female",27
"4324994","Female",39
"4329309","Male",30
"4329718","Male",23
"4330056","Female",44
"4330553","Male",31
"4330870","Female",54
"4338078","Male",48
"4344263","Female",49
"4361603","Male",32
"4376055","Female",31
"4378443","Female",34
"4382015","Female",62
"4394653","Male",29
"4396800","Female",40
"4397757","Female",48
"4445573","Female",28
"4452554","Male",31
"4452618","Male",20
"4459038","Female",49
"4460625","Female",23
"4461663","Male",47
"4469143","Female",21
"4469479","Female",21
"4474968","Female",27
"4482953","Female",35
"4486003","Female",36
"4517133","Male",29
"4519181","Male",25
"4525713","Female",38
"4549740","Female",35
"4561701","Male",37
"4581315","Male",27
"4593020","Male",45
"4608862","Female",21
"4614736","Male",67
"4615024","Female",49
"4617113","Male",30
"4619440","Male",40
"4631097","Female",30
"4638513","Male",44
"4650620","Female",31
"4652233","Male",40
"4655779","Male",63
"4656369","Female",31
"4689708","Female",61
"4691958","Male",29
"4703188","Female",30
"4704323","Male",30
"4716590","Female",25
"4727467","Female",31
"4729108","Male",62
"4733632","Female",33
"4736069","Female",27
"4742373","Male",25
"4771384","Female",57
"4775458","Female",18
"4796655","Female",53
"4801861","Female",32
"4834754","Male",24
"4846086","Female",34
"4848620","Male",28
"4851474","Female",24
"4862676","Female",35
"4873470","Male",38
"4883508","Female",26
"4892137","Female",47
"4901192","Male",21
"4911506","Female",32
"4917080","Male",42
"4921314","Male",32
"4927683","Female",27
"4937828","Female",57
"4941297","Female",23
"4962995","Female",22
"4963956","Male",30
"4974074","Male",44
"4990116","Female",38
"4996568","Male",30
"5008799","Male",32
"5015476","Male",27
"5025687","Male",22
"5032718","Male",25
"5041160","Female",33
"5044904","Male",26
"5056265","Male",61
"5058691","Male",32
"5067739","Male",31
"5075593","Female",24
"5103576","Female",40
"5107300","Female",32
"5112662","Female",24
"5121974","Male",67
"5124628","Male",38
"5131042","Female",24
"5148654","Female",24
"5151236","Male",30
"5153499","Male",24
"5172415","Female",30
"5179684","Not otherwise specified",21
"5181185","Male",36
"5184791","Male",20
"5187167","Female",32
"5188217","Male",30
"5188971","Male",45
"5190159","Male",26
"5197671","Female",44
"5201399","Female",26
"5203339","Male",41
"5217924","Female",22
"5225560","Male",50
"5231424","Female",30
"5232871","Female",32
"5241155","Female",25
"5249046","Male",27
"5251947","Female",26
"5264916","Male",27
"5265156","Female",53
"5265749","Male",53
"5282357","Female",36
"5286634","Female",38
"5290581","Male",38
"5301342","Female",27
"5306629","Female",36
"5337207","Female",38
"5341685","Male",29
"5344007","Female",32
"5345642","Male",49
"5354304","Female",25
"5354534","Female",41
"5374085","Male",51
"5375311","Female",26
"5376868","Female",40
"5380378","Male",26
"5394433","Female",38
"5397685","Female",33
"5414862","Male",41
"5421810","Male",34
"5422312","Male",33
"5424248","Female",32
"5434685","Male",42
"5437796","Female",34
"5444736","Male",34
"5452833","Female",62
"5460336","Male",21
"5461538","Male",42
"5470940","Male",49
"5474294","Female",31
"5491932","Female",35
"5506544","Female",37
"5510524","Male",19
"5513287","Female",23
"5518325","Male",25
"5519369","Male",41
"5521904","Female",29
"5538221","Male",23
"5542672","Male",27
"5551461","Male",44
"5591064","Female",53
"5601444","Male",28
"5625398","Female",20
"5625818","Female",44
"5629580","Female",29
"5638285","Female",25
"5638644","Female",35
"5657320","Male",28
"5662207","Male",31
"5675386","Female",50
"5686128","Male",31
"5700050","Male",39
"5704587","Female",27
"5705997","Male",28
"5710226","Male",30
"5716028","Male",31
"5718170","Male",46
"5726354","Male",20
"5727053","Female",25
"5736383","Female",33
"5753782","Male",42
"5771699","Female",52
"5783537","Male",28
"5784878","Male",34
"5786733","Male",28
"5792794","Female",72
"5814684","Female",66
"5815751","Male",21
"5824120","Male",20
"5832651","Female",52
"5865917","Male",22
"5868952","Male",21
"5881767","Male",35
"5897165","Male",21
"5902139","Male",20
"5902535","Female",23
"5917305","Female",21
"5918419","Female",36
"5924621","Female",40
"5928235","Female",23
"5930941","Male",40
"5938634","Female",29
"5949234","Female",34
"5957042","Female",63
"5968135","Male",31
"5981596","Female",33
"5990618","Female",36
"6001032","Male",38
"6009194","Male",56
"6011075","Male",26
"6011997","Female",37
"6012838","Female",46
"6022890","Female",37
"6037476","Male",54
"6054910","Female",29
"6058859","Male",27
"6065198","Male",72
"6074259","Male",27
"6078964","Male",52
"6088240","Male",33
"6088859","Male",22
"6102835","Female",26
"6106549","Female",36
"6120953","Female",34
"6134705","Male",34
"6155903","Male",26
"6161641","Female",30
"6167184","Male",60
"6172443","Male",25
"6174640","Male",40
"6175722","Female",34
"6195109","Male",61
"6201307","Male",32
"6203053","Female",27
"6210055","Female",56
"6210711","Not otherwise specified",25
"6222484","Female",30
"6223925","Female",23
"6235822","Male",31
"6240729","Female",42
"6269112","Male",29
"6271464","Male",48
"6282457","Male",28
"6283752","Male",32
"6285665","Female",59
"6285813","Female",29
"6286128","Female",24
"6286616","Female",32
"6286635","Male",26
"6303387","Male",29
"6331907","Female",38
"6341075","Male",61
"6354353","Female",51
"6363660","Female",60
"6366488","Male",20
"6376729","Female",23
"6384446","Female",25
"6387595","Male",24
"6398456","Male",44
"6399157","Male",30
"6417021","Male",32
"6419106","Male",43
"6423439","Female",32
"6431924","Female",47
"6441088","Female",41
"6455552","Female",60
"6469035","Female",30
"6485198","Male",58
"6515953","Female",27
"6517978","Male",33
"6530281","Male",34
"6581399","Female",51
"6586212","Male",42
"6588205","Male",33
"6597188","Female",28
"6605358","Female",39
"6610595","Female",32
"6613844","Female",25
"6619119","Male",21
"6630000","Male",24
"6637042","Female",24
"6643992","Female",30
"6647065","Female",52
"6652840","Male",25
"6653031","Female",23
"6653400","Female",60
"6663513","Female",46
"6671581","Male",30
"6693644","Male",25
"6707299","Male",27
"6716864","Female",37
"6717925","Male",26
"6720559","Female",37
"6722706","Male",28
"6737720","Female",21
"6748529","Female",18
"6754554","Female",52
"6755826","Male",34
"6761033","Female",33
"6762701","Male",30
"6768414","Female",63
"6772836","Male",34
"6775945","Male",25
"6777840","Female",49
"6787944","Male",31
"6788451","Female",32
"6813158","Male",24
"6813636","Female",22
"6815461","Male",40
"6821627","Female",30
"6827357","Male",25
"6830404","Female",29
"6839327","Female",51
"6843837","Female",31
"6850369","Female",36
"6854883","Male",38
"6855887","Male",38
"6882949","Female",49
"6886460","Not otherwise specified",25
"6889461","Male",27
"6890206","Female",60
"6899975","Female",42
"6903275","Female",31
"6922807","Female",50
"6930177","Male",26
"6936865","Male",20
"6962647","Male",40
"6964057","Female",29
"6987022","Female",35
"6991827","Male",30
"6997990","Female",38
"7004976","Male",40
"7010599","Male",21
"7017919","Female",30
"7021403","Male",29
"7028690","Male",24
"7034391","Male",39
"7045873","Female",25
"7048385","Male",29
"7055272","Female",36
"7056912","Male",22
"7061713","Female",29
"7075446","Male",30
"7091350","Male",56
"7093951","Male",25
"7106929","Male",30
"7107728","Male",26
"7109318","Male",31
"7127104","Female",25
"7127622","Male",28
"7146041","Female",53
"7158498","Male",26
"7165449","Male",19
"7185123","Male",32
"7187056","Female",29
"7189541","Female",49
"7203765","Male",64
"7206384","Female",32
"7207455","Male",41
"7209317","Female",21
"7231962","Male",28
"7255576","Female",36
"7272617","Male",36
"7287066","Male",27
"7296171","Female",44
"7311529","Male",24
"7311604","Female",20
"7322913","Female",34
"7343223","Male",32
"7343446","Male",32
"7363085","Male",32
"7369624","Female",26
"7377736","Female",33
"7423104","Male",25
"7423443","Female",29
"7441442","Male",49
"7459727","Female",33
"7463822","Male",42
"7471143","Male",42
"7497938","Male",39
"7499990","Male",32
"7502123","Male",32
"7509341","Male",37
"7518718","Male",37
"7520163","Male",29
"7539849","Female",27
"7572391","Male",28
"7578055","Female",32
"7588124","Male",30
"7615756","Male",31
"7617499","Male",61
"7623761","Female",32
"7634030","Male",25
"7647442","Male",42
"7665963","Male",27
"7668118","Female",28
"7670556","Male",35
"7673565","Female",40
"7674172","Male",42
"7708173","Male",36
"7709126","I do not wish to provide this information",36
"7719999","Female",32
"7721329","Female",38
"7723853","Female",56
"7727828","Female",41
"7759478","Male",29
"7762061","Male",52
"7766011","Male",35
"7778366","Female",31
"7784309","Female",24
"7786485","Male",28
"7790109","Female",64
"7791938","Female",24
"7797374","Male",25
"7798312","Female",32
"7799906","Male",33
"7817131","Female",27
"7818044","Male",33
"7821158","Female",25
"7825248","Male",29
"7863945","Female",66
"7878151","Female",35
"7896259","Female",44
"7901676","Male",21
"7908889","Male",28
"7915118","Male",30
"7928677","Female",44
"7929978","Female",35
"7932246","Female",35
"7942868","Female",23
"7965397","Female",44
"7966766","Male",31
"7981021","Female",28
"7982082","Female",28
"7985602","Male",23
"7987554","Male",33
"7990210","Female",38
"8011223","Male",27
"8014924","Female",30
"8015369","Male",23
"8021124","Female",34
"8026572","Female",43
"8034188","Male",26
"8066080","Female",30
"8074593","Male",24
"8089603","Female",53
"8108205","Female",21
"8138293","Female",34
"8145983","Male",56
"8161781","Female",36
"8165851","Female",35
"8165967","Female",36
"8169823","Male",38
"8170692","Male",59
"8176783","Male",36
"8183647","Male",28
"8196590","Female",27
"8203943","Female",29
"8217167","Female",35
"8219097","Female",31
"8223585","Male",23
"8230111","Male",21
"8237339","Male",31
"8240366","Male",29
"8248509","Female",31
"8257946","Male",38
"8258125","Male",42
"8266527","Female",32
"8271253","Female",38
"8277187","Male",23
"8281645","Female",55
"8281911","Female",46
"8303450","Male",45
"8305211","Female",34
"8314214","Male",27
"8315433","Male",34
"8324512","Male",65
"8326465","Male",35
"8333051","Male",28
"8333536","Female",37
"8336771","Female",29
"8358015","Female",25
"8363698","Female",29
"8364287","Male",50
"8370604","Female",33
"8379206","Female",57
"8379303","Female",36
"8379755","Male",32
"8382336","Male",28
"8382973","Female",62
"8457457","Female",59
"8461440","Male",27
"8463120","Male",25
"8465524","Male",42
"8509491","Male",25
"8512077","Female",31
"8521887","Female",40
"8528397","Male",44
"8532447","Female",49
"8552203","Male",38
"8553892","Female",35
"8558888","Female",32
"8562686","Female",63
"8567456","Female",23
"8581323","Female",45
"8582298","Male",31
"8588050","Male",28
"8591500","Male",28
"8602807","Male",29
"8611058","Female",29
"8611687","Male",26
"8612570","Male",32
"8630890","Female",28
"8637791","Male",31
"8643326","Female",52
"8655403","Male",33
"8663227","Female",29
"8669163","Female",29
"8669362","Male",34
"8671566","Male",31
"8675815","Female",52
"8681378","Female",30
"8682054","Female",24
"8712505","Female",39
"8722182","Male",29
"8726927","Female",38
"8729477","Male",27
"8738829","Female",24
"8745192","Male",34
"8749763","Male",38
"8751354","Male",25
"8769149","Female",26
"8770418","Male",37
"8772111","Female",58
"8772499","Male",31
"8773443","Male",33
"8785348","Male",57
"8790799","Female",30
"8793984","Male",43
"8797468","Female",23
"8816401","Female",55
"8829277","Female",58
"8831227","Male",21
"8839065","Male",25
"8867363","Male",33
"8881152","Male",37
"8881882","Male",39
"8889159","Male",49
"8894247","Female",24
"8909164","Female",29
"8910029","Female",41
"8925514","Female",35
"8931658","Female",30
"8943838","Male",45
"8950734","Female",54
"8956727","Male",29
"8958781","Male",44
"8961498","Female",33
"8961892","Female",31
"8965548","Male",38
"8967379","Female",39
"8970833","Male",35
"8974144","Female",57
"8976480","Male",32
"8984383","Female",25
"8987075","Male",42
"8990886","Female",28
"9014132","Female",32
"9021573","Male",29
"9024767","Female",30
"9054504","Male",42
"9055138","Male",21
"9060831","Female",29
"9065731","Female",27
"9068721","Female",44
"9081586","Male",41
"9087062","Female",29
"9087790","Female",34
"9089158","Male",34
"9105147","Female",22
"9106274","Male",36
"9114678","Female",28
"9119925","Female",52
"9120515","Male",75
"9126688","Male",29
"9152639","Male",37
"9162168","Male",24
"9170345","Male",28
"9176982","Male",24
"9182597","Female",23
"9189769","Male",40
"9193229","Male",37
"9195565","Male",41
"9204360","Female",34
"9210158","Male",25
"9216949","Male",30
"9242526","Male",40
"9256239","Male",22
"9263378","Female",43
"9288953","Female",61
"9296354","Male",33
"9313845","Male",22
"9318475","Male",33
"9323445","Female",30
"9330652","Male",3
"9350742","Female",27
"9352381","Male",53
"9368091","Female",31
"9368162","Female",36
"9370569","Female",38
"9376725","Female",31
"9377884","Female",25
"9391106","Male",55
"9405805","Female",33
"9406917","Male",26
"9414146","Female",29
"9426105","Male",52
"9431942","Female",34
"9441377","Male",26
"9449136","Male",29
"9450994","Male",47
"9462119","Female",42
"9466702","Female",29
"9467103","Female",30
"9470058","Male",55
"9487133","Female",50
"9493729","Female",25
"9515635","Female",43
"9529650","Male",23
"9545194","Male",26
"9546935","Female",34
"9579707","Female",18
"9591040","Female",33
"9601088","Female",37
"9609145","Male",30
"9613154","Female",54
"9613562","Female",22
"9620539","Female",33
"9657188","Male",39
"9661282","Female",40
"9667839","Female",39
"9670404","Female",54
"9681994","Male",56
"9688088","Female",55
"9691604","Female",25
"9715408","Male",32
"9725798","Female",27
"9726136","Female",39
"9746222","Male",37
"9758915","Female",40
"9770946","Female",66
"9779514","Male",27
"9798486","Female",30
"9799054","Male",27
"9842773","Female",29
"9846587","Male",32
"9848210","Female",64
"9849078","Female",29
"9878195","Female",49
"9895997","Male",24
"9904624","Female",23
"9911283","Male",22
"9913819","Female",35
"9919807","Male",33
"9926230","Male",45
"9928259","Male",34
"9930302","Female",48
"9936362","Male",33
"9947143","Male",37
"9947506","Female",21
"9949101","Male",41
"9957903","Female",37
"9968006","Female",24
"9971871","Female",31
"9972052","Female",29
"9988247","Female",50
"9988462","Female",27
"9996203","Female",34
