"subject","sex","age"
"16133","Female",48
"18715","Female",37
"26992","Female",30
"33485","Male",35
"61746","Female",45
"66018","Male",28
"83085","Male",25
"84403","Male",27
"88666","Female",31
"91842","Male",54
"94407","Female",51
"96678","Male",30
"112304","Male",21
"119607","Female",42
"136674","Female",52
"140761","Female",44
"149377","Male",27
"170886","Male",44
"193152","Male",26
"193481","Female",27
"197423","Female",22
"217034","Male",23
"233341","Male",24
"248165","Female",36
"263054","Female",23
"267986","Male",28
"270773","Female",35
"270880","Male",36
"272741","Female",26
"287267","Male",36
"295098","Male",34
"297054","Female",27
"301961","Female",34
"311392","Female",42
"319890","Female",29
"331794","Male",45
"332593","Male",20
"339223","Male",38
"341712","Male",31
"344746","Female",25
"361811","Female",28
"383297","Male",55
"384081","Male",26
"403596","Male",32
"417236","Female",37
"420720","Female",26
"421729","Female",29
"430683","Male",37
"432512","Male",32
"432622","Male",30
"450784","Male",30
"451934","Male",43
"456349","Female",36
"456865","Male",28
"461138","Male",26
"463121","Male",32
"464624","Female",48
"481025","Male",32
"488120","Female",21
"516232","Male",27
"518364","Male",28
"525589","Male",33
"531125","Female",37
"533878","Female",36
"551142","Female",26
"552179","Male",61
"555894","Female",36
"560992","Male",42
"561909","Male",37
"564655","Female",48
"566106","Female",27
"567877","Female",37
"569406","Female",31
"577664","Female",37
"579265","Female",29
"583643","Female",54
"588315","Male",40
"591640","Female",33
"591674","Male",26
"591913","Male",19
"593014","Male",27
"608066","Male",26
"609731","Male",26
"614522","Female",60
"629187","Male",25
"640124","Female",22
"648110","Female",37
"649980","Female",37
"654510","Female",30
"658274","Male",54
"667622","Male",27
"671212","Female",51
"675306","Female",37
"682598","Male",31
"690903","Female",32
"695733","Female",53
"697134","Female",24
"718529","Female",36
"753384","Female",32
"769120","Male",59
"775194","Female",26
"780849","Male",22
"793440","Female",27
"802353","Female",38
"828546","Male",26
"840545","Female",35
"860571","Female",50
"870993","Female",57
"875798","Male",38
"879193","Female",45
"899981","Male",28
"913078","Male",44
"917708","Female",30
"919965","Male",33
"928705","Female",22
"938308","Male",23
"939701","Male",35
"940312","Male",26
"941995","Female",64
"957824","Male",22
"962514","Female",27
"962820","Male",26
"963831","Male",30
"971203","Male",21
"975184","Male",21
"977357","Female",41
"982526","Male",24
"988733","Female",37
"992807","Female",43
"993886","Male",29
"995438","Male",25
"1006903","Female",18
"1030997","Female",23
"1054706","Female",29
"1065677","Male",35
"1073993","Female",22
"1085335","Male",28
"1088525","Male",29
"1089751","Male",63
"1103218","Male",49
"1103559","Female",39
"1104977","Female",21
"1126692","Female",41
"1131087","Female",24
"1138020","Male",29
"1144986","Female",49
"1167995","Female",52
"1170416","Male",39
"1176647","Female",41
"1186930","Female",40
"1189303","Female",44
"1192106","Male",45
"1200070","Female",31
"1223440","Female",31
"1226527","Male",53
"1242595","Female",31
"1252301","Male",43
"1256111","Male",27
"1285318","Female",34
"1293148","Female",26
"1303332","Female",29
"1312072","Male",20
"1330899","Female",48
"1334808","Male",23
"1357662","Male",41
"1371067","Female",25
"1374847","Female",57
"1388551","Female",22
"1394800","Female",35
"1409572","Male",29
"1409665","Male",29
"1415125","Female",26
"1465505","Female",25
"1467117","Female",57
"1468424","Female",43
"1475143","Female",63
"1497552","Female",33
"1503286","Male",23
"1504440","Male",55
"1541762","Female",47
"1543545","Female",41
"1554238","Female",26
"1560823","Female",25
"1581141","Female",34
"1590435","Male",32
"1596867","Female",25
"1621690","Female",54
"1628213","Female",32
"1632978","Male",30
"1642696","Female",47
"1659092","Male",33
"1662690","Female",64
"1675058","Female",29
"1675886","Female",42
"1681002","Female",32
"1689201","Male",33
"1698789","Male",30
"1701812","Male",45
"1703725","Female",23
"1707628","Female",41
"1725802","Female",26
"1727426","Female",39
"1734585","Male",32
"1734824","Male",38
"1735200","Male",24
"1738207","Female",25
"1739987","Female",46
"1742394","Female",38
"1745869","Female",35
"1753436","Female",38
"1763110","Male",18
"1765670","Female",28
"1770698","Female",58
"1784294","Female",24
"1793456","Female",23
"1797228","Female",41
"1797524","Female",44
"1802040","Male",27
"1824609","Female",30
"1828748","Male",32
"1836945","Male",26
"1847539","Male",33
"1850167","Male",26
"1850490","Female",27
"1875448","Female",26
"1875750","Female",60
"1888095","Male",29
"1895535","Female",36
"1895904","Female",37
"1897454","Female",23
"1907243","Male",51
"1912891","Male",21
"1913223","Female",56
"1914034","Male",23
"1915104","Female",41
"1915406","Male",29
"1949579","Female",51
"1971483","Female",47
"1978468","Female",34
"1979778","Female",27
"1987046","Female",22
"2009118","Female",37
"2009789","Male",26
"2053669","Female",26
"2066008","Female",31
"2069621","Male",34
"2076149","Female",30
"2079021","Female",51
"2080529","Female",28
"2097713","Male",32
"2100853","Male",33
"2104921","Female",30
"2116078","Male",28
"2131387","Male",32
"2166251","Female",52
"2171666","Female",28
"2182868","Male",40
"2200226","Male",26
"2206254","Male",26
"2221547","Male",34
"2239126","Male",35
"2240919","Male",26
"2246436","Male",25
"2271229","Female",26
"2272390","Male",31
"2283947","Male",30
"2287159","Female",37
"2297384","Female",23
"2311632","Female",50
"2321035","Female",61
"2328520","Female",33
"2342783","Female",28
"2361061","Female",29
"2375518","Female",31
"2378398","Female",24
"2387216","Male",21
"2399515","Male",26
"2405293","Male",50
"2406716","Male",34
"2425139","Male",26
"2426241","Female",39
"2426402","Female",25
"2427067","Female",55
"2431851","Female",24
"2432153","Male",19
"2434704","Female",59
"2448937","Male",66
"2456075","Male",31
"2457893","Female",48
"2457955","Female",51
"2460287","Female",23
"2461273","Female",28
"2487406","Female",46
"2499401","Male",31
"2504942","Male",34
"2522098","Female",34
"2522126","Male",35
"2526800","Female",44
"2559384","Male",30
"2567287","Female",37
"2584881","Male",69
"2588525","Female",25
"2595658","Male",26
"2605581","Female",24
"2610170","Female",31
"2614326","Female",30
"2625140","Male",29
"2629574","Male",28
"2636957","Male",23
"2638043","Female",26
"2642839","Male",38
"2687868","Male",41
"2689615","Female",57
"2690574","Male",27
"2697225","Male",32
"2704054","Female",29
"2706544","Male",50
"2717960","Male",32
"2724492","Male",22
"2727183","Male",54
"2729617","Female",25
"2737961","Female",64
"2745757","Female",32
"2765046","Male",28
"2765485","Male",25
"2766042","Female",26
"2768365","Male",48
"2771194","Male",23
"2785687","Male",42
"2798467","Male",22
"2805719","Female",59
"2822611","Female",28
"2841457","Male",39
"2847314","Female",54
"2848630","Female",34
"2862893","Female",24
"2873173","Female",36
"2878736","Female",26
"2879151","Female",26
"2891378","Female",32
"2891615","Male",31
"2892694","Female",28
"2895063","Female",64
"2905487","Female",35
"2906920","Male",36
"2912376","Male",37
"2914938","Male",27
"2915745","Female",62
"2932147","Female",30
"2943271","Female",30
"2954010","Female",34
"2966589","Male",30
"2970867","Male",41
"2981301","Male",37
"2996502","Male",54
"3019716","Female",27
"3020654","Female",56
"3022860","Female",25
"3025641","Female",26
"3029059","Female",25
"3035876","Female",23
"3039524","Male",39
"3045088","Male",22
"3046787","Female",41
"3051862","Female",45
"3057395","Male",24
"3060060","Female",43
"3073488","Female",31
"3081369","Female",26
"3082709","Female",23
"3086636","Female",63
"3097203","Male",26
"3112637","Female",28
"3115379","Male",43
"3117823","Male",34
"3122257","Male",51
"3136481","Female",44
"3153991","Male",29
"3155216","Female",48
"3169728","Female",19
"3175195","Male",35
"3176488","Female",42
"3193181","Male",33
"3204582","Female",48
"3206983","Male",34
"3214583","Female",44
"3233612","Male",24
"3257256","Male",33
"3268222","Male",27
"3270689","Female",31
"3276076","Male",22
"3276467","Female",27
"3280753","Female",30
"3280990","Male",25
"3285434","Female",40
"3294599","Female",38
"3301548","Male",33
